arrival_rate,RDYNAMIC/RR_ratio,RDYNAMIC/SRPT_ratio,RDYNAMIC/SETF_ratio,RDYNAMIC/FCFS_ratio,RDYNAMIC/RMLF_ratio
20,0.58103034161521,1.720351642434921,0.9007932776707714,0.9775642225135173,1.0309397601402133
22,0.5713819225631093,1.834681480534741,0.9331636585787224,0.9577729776132327,1.0998443000693559
24,0.4891735016929624,1.8686120730370153,0.8059187361348781,0.800708472566132,1.1147658591443455
26,0.49439823794851634,2.0517898668617494,0.9896289464447525,0.8564270870522686,1.2169656333714896
28,0.38150640366848143,1.8792610633820546,0.6339662967775302,0.6323807248866773,1.1318629969455416
30,0.42332165480358547,1.908383253021255,0.8560400541057421,0.945712039774974,1.1008308667862834
32,0.38384739111558164,1.9076600478469623,0.854675266391098,0.8616913102647578,1.1155819906597761
34,0.17485585255065061,1.7162747098046551,0.4641644589076556,0.24320542575392246,1.0300573271531281
36,0.31294239182292294,2.2133971523575164,1.1681318869753001,0.8308040639357027,1.2910029101357718
38,0.31320697347986853,2.070540167861402,0.9226193196922989,0.7002020136122971,1.222507598997968
40,0.2853675009042036,2.3238336623565803,1.2890519533369675,0.9294624669823535,1.285827416939959
