arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
20,"{'L': 16.772, 'H': 64}",17175211.919235494,6882917.908089054,12910940.005973732,5704098.582668343,12012973.787636764
20,"{'L': 7.918, 'H': 512}",16086902.302331297,2499540.7948239213,4687867.264974553,4462681.63140034,4222937.796607238
20,"{'L': 5.649, 'H': 4096}",16190105.414957155,1009844.39001462,1850883.7921647052,4454056.654047185,1639776.034226016
20,"{'L': 4.639, 'H': 32768}",16648145.3099806,525333.7085900733,1073521.6635098706,5041419.235431527,887470.924799793
20,"{'L': 4.073, 'H': 262144}",17208809.421485584,456678.5054521397,849278.5778082478,5465502.785524037,722447.3291029596
20,"{'L': 56.3, 'H': 64}",34814264.788023785,25860106.633080576,35318415.936412364,23127775.2159193,38876420.31255343
20,"{'L': 18.9, 'H': 512}",34125496.27709666,14067363.771283764,27542971.24363263,22626651.742170647,23431657.58335624
20,"{'L': 12.4, 'H': 4096}",36029036.92103611,8997161.207790544,21208682.459653545,24311620.82891517,14790597.822600951
20,"{'L': 9.8, 'H': 32768}",28417136.070362385,5356230.391136942,12580806.953780787,16837250.084787864,8879858.893609796
20,"{'L': 8.5, 'H': 262144}",27375029.223619834,4477537.783137402,10510468.77412297,15919423.111716328,7318132.318003549
20,"{'L': 32.3, 'H': 512}",51473437.53567468,27348136.973783772,49106781.196584694,39903251.29220604,46160155.85510223
20,"{'L': 19.7, 'H': 4096}",51621289.83369297,17327189.569282465,41122079.81621441,40281928.830606386,28440480.85841333
20,"{'L': 15.3, 'H': 32768}",54846611.8362249,13126633.519312786,38430771.32943773,43279847.5549349,21454725.040137243
20,"{'L': 13.0, 'H': 262144}",47962584.735513315,8910863.867733981,26172228.39716114,36327593.51637285,14577094.425758447
