frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
2,48162979.855584,2131410.7
4,48182901.693302296,2085213.2
8,48133949.60962699,2156669.4
16,48603953.5367506,2225222.7
32,48839252.7298855,2148509.6
64,50083460.760337494,2178756.9
128,50091522.0851864,2122621.8
256,50229552.0410565,2128061.0
512,49676699.33847,2099993.2
1024,50215770.364371195,2127644.0
2048,50830853.080073796,2148275.0
4096,48900357.7160954,2143176.4
8192,52308788.467774704,2150513.2
16384,49532407.0570763,2119324.4
32768,50227244.6392964,2126038.2
65536,54590438.2872769,2110272.5
