Time,Job
0,Idle
1,Idle
2,Idle
3,Idle
4,Idle
5,Idle
6,Idle
7,Idle
8,Idle
9,Idle
10,Idle
11,Idle
12,Idle
13,Idle
14,Idle
15,Idle
16,Idle
17,Idle
18,Idle
19,Idle
20,Idle
21,Idle
22,Idle
23,Idle
24,Idle
25,Idle
26,Idle
27,Idle
28,Idle
29,Idle
30,Idle
31,Idle
32,Idle
33,Idle
34,Idle
35,Idle
36,Idle
37,Idle
38,Job 0
39,Job 0
40,Job 0
41,Job 0
42,Job 0
43,Job 0
44,Job 0
45,Job 0
46,Job 0
47,Job 0
48,Job 0
49,Job 0
50,Job 0
51,Job 0
52,Job 0
53,Job 0
54,Job 0
55,Job 0
56,Idle
57,Idle
58,Job 1
59,Job 1
60,Job 1
61,Job 1
62,Job 1
63,Job 1
64,Job 1
65,Job 1
66,Job 1
67,Job 1
68,Job 1
69,Job 1
70,Job 1
71,Job 1
72,Job 1
73,Job 1
74,Job 1
75,Job 1
76,Job 1
77,Job 1
78,Job 1
79,Job 1
80,Job 1
81,Job 1
82,Job 1
83,Job 1
84,Job 2
85,Job 2
86,Job 2
87,Job 2
88,Job 2
89,Job 2
90,Job 2
91,Job 2
92,Job 2
93,Job 2
94,Job 2
95,Job 2
96,Job 2
97,Job 2
98,Job 2
99,Job 2
100,Job 2
101,Job 2
102,Job 2
103,Job 2
104,Job 2
105,Job 2
106,Job 2
107,Job 2
108,Job 2
109,Job 2
110,Job 2
111,Job 2
112,Job 2
113,Job 2
114,Job 2
115,Job 2
116,Job 2
117,Job 2
118,Job 2
119,Job 2
120,Job 2
121,Job 2
122,Job 2
123,Job 2
124,Job 2
125,Job 2
126,Job 2
127,Job 2
128,Job 2
129,Job 2
130,Job 2
131,Job 3
132,Job 3
133,Job 3
134,Job 3
135,Job 3
136,Job 3
137,Job 3
138,Job 3
139,Job 3
140,Job 3
141,Job 3
142,Job 3
143,Job 3
144,Job 3
145,Job 3
146,Job 3
147,Job 3
148,Job 3
149,Job 3
150,Job 3
151,Job 3
152,Job 3
153,Job 3
154,Job 3
155,Job 3
156,Job 3
157,Job 3
158,Job 3
159,Job 3
160,Job 3
161,Job 3
162,Job 3
163,Job 3
164,Job 3
165,Job 3
166,Job 3
167,Job 3
168,Job 3
169,Job 3
170,Job 3
171,Job 3
172,Job 3
173,Job 3
174,Job 3
175,Job 3
176,Job 3
177,Job 3
178,Job 3
179,Job 3
180,Job 3
181,Job 3
182,Job 3
183,Job 3
184,Job 3
185,Job 3
186,Job 3
187,Job 3
188,Job 7
189,Job 7
