L,H,bp_parms,arrival_rate,arithmetic,value
16.772,64.0,L16.772/H64,0.05,SJF_L2_Norm/SRPT_L2_Norm,0.9999992931316816
7.918,512.0,L7.918/H512,0.05,SJF_L2_Norm/SRPT_L2_Norm,0.9999900670059249
5.649,4096.0,L5.649/H4096,0.05,SJF_L2_Norm/SRPT_L2_Norm,1.00086578177857
4.073,262144.0,L4.073/H262144,0.05,SJF_L2_Norm/SRPT_L2_Norm,0.9981069356615196
16.772,64.0,L16.772/H64,0.04545,SJF_L2_Norm/SRPT_L2_Norm,0.9999989500236718
7.918,512.0,L7.918/H512,0.04545,SJF_L2_Norm/SRPT_L2_Norm,0.9999797724985622
5.649,4096.0,L5.649/H4096,0.04545,SJF_L2_Norm/SRPT_L2_Norm,0.9998424140910276
4.073,262144.0,L4.073/H262144,0.04545,SJF_L2_Norm/SRPT_L2_Norm,0.9939734613446232
16.772,64.0,L16.772/H64,0.0416,SJF_L2_Norm/SRPT_L2_Norm,0.9999969519193752
7.918,512.0,L7.918/H512,0.0416,SJF_L2_Norm/SRPT_L2_Norm,1.0006686219549985
5.649,4096.0,L5.649/H4096,0.0416,SJF_L2_Norm/SRPT_L2_Norm,0.9992121666227513
4.073,262144.0,L4.073/H262144,0.0416,SJF_L2_Norm/SRPT_L2_Norm,0.9859873039702276
16.772,64.0,L16.772/H64,0.0385,SJF_L2_Norm/SRPT_L2_Norm,0.9999966126950476
7.918,512.0,L7.918/H512,0.0385,SJF_L2_Norm/SRPT_L2_Norm,0.9998524615379736
5.649,4096.0,L5.649/H4096,0.0385,SJF_L2_Norm/SRPT_L2_Norm,0.9940677797139617
4.073,262144.0,L4.073/H262144,0.0385,SJF_L2_Norm/SRPT_L2_Norm,1.4501659902150612
16.772,64.0,L16.772/H64,0.036,SJF_L2_Norm/SRPT_L2_Norm,0.9999908506859811
7.918,512.0,L7.918/H512,0.036,SJF_L2_Norm/SRPT_L2_Norm,0.9939662692403368
5.649,4096.0,L5.649/H4096,0.036,SJF_L2_Norm/SRPT_L2_Norm,0.9574117137941278
4.073,262144.0,L4.073/H262144,0.036,SJF_L2_Norm/SRPT_L2_Norm,1.0048416070050226
