arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
20,8.5,262144,37510407.566592894
20,9.8,32768,49519828.0901363
20,12.4,4096,72769405.2265681
20,18.9,512,116962815.21258941
20,56.3,64,206535675.218558
20,60.0,12,192690297.17797008
20,60.0,18,183668303.7485535
20,60.0,24,175271325.0165413
20,100.0,50,9996674.610423
20,500.0,200,59531709.4845504
20,2000.0,800,245248634.99579588
22,8.5,262144,33319456.461829297
22,9.8,32768,45468248.319460705
22,12.4,4096,67745162.89319819
22,18.9,512,111927865.51963261
22,56.3,64,200029359.8638213
22,60.0,12,186676169.859476
22,60.0,18,177618643.90799648
22,60.0,24,169625708.29172948
22,100.0,50,9808957.8499632
22,500.0,200,59332539.0015926
22,2000.0,800,243538751.98939648
24,8.5,262144,29601110.629583605
24,9.8,32768,41116321.4935188
24,12.4,4096,63158834.1435416
24,18.9,512,107174108.8543104
24,56.3,64,192636575.64324433
24,60.0,12,179789563.7843688
24,60.0,18,171584082.1501745
24,60.0,24,163767176.02134907
24,100.0,50,9703876.5704842
24,500.0,200,59155973.1623463
24,2000.0,800,244154125.5129406
26,8.5,262144,26145282.688235797
26,9.8,32768,36799060.3352824
26,12.4,4096,58333417.141928695
26,18.9,512,101928308.29133229
26,56.3,64,185687401.41113052
26,60.0,12,173638487.121344
26,60.0,18,165423730.67569232
26,60.0,24,157802000.2907998
26,100.0,50,9514764.5672117
26,500.0,200,58907589.475714006
26,2000.0,800,243197830.392948
28,8.5,262144,23215582.965624
28,9.8,32768,33166750.108882
28,12.4,4096,54670236.14002659
28,18.9,512,96455891.4079289
28,56.3,64,178852311.72629848
28,60.0,12,167408560.1356437
28,60.0,18,159253885.16932002
28,60.0,24,152028979.37557063
28,100.0,50,9308257.379259598
28,500.0,200,58923557.663444296
28,2000.0,800,243958264.0827989
30,8.5,262144,20652209.7254541
30,9.8,32768,29290661.311083
30,12.4,4096,49963859.2989253
30,18.9,512,91184330.65794739
30,56.3,64,172413023.250042
30,60.0,12,160462134.33319747
30,60.0,18,153485144.5809875
30,60.0,24,145768045.4956747
30,100.0,50,9153378.8233031
30,500.0,200,58886714.28865139
30,2000.0,800,242765905.56183392
32,8.5,262144,18783445.715210598
32,9.8,32768,26423244.053906497
32,12.4,4096,45296951.4889469
32,18.9,512,85724664.99222629
32,56.3,64,164399709.4932868
32,60.0,12,154777621.386141
32,60.0,18,146257855.6623105
32,60.0,24,139721066.1145533
32,100.0,50,8968617.5760431
32,500.0,200,58449136.9135661
32,2000.0,800,243427950.76960406
34,8.5,262144,16698032.9632126
34,9.8,32768,23957922.9235393
34,12.4,4096,41463520.73764861
34,18.9,512,80337067.97691709
34,56.3,64,156977316.17680988
34,60.0,12,147583065.964295
34,60.0,18,139811020.55381936
34,60.0,24,133205974.3944565
34,100.0,50,8736393.5350315
34,500.0,200,58225929.46991279
34,2000.0,800,243283060.6759017
36,8.5,262144,14495815.164751101
36,9.8,32768,21985374.394387595
36,12.4,4096,38334056.14323609
36,18.9,512,75117594.7409328
36,56.3,64,149810346.2940987
36,60.0,12,140227827.062607
36,60.0,18,132562565.46088819
36,60.0,24,126990789.87679942
36,100.0,50,8543064.0949735
36,500.0,200,58161699.79191311
36,2000.0,800,242773024.7592318
38,8.5,262144,12617691.9932663
38,9.8,32768,20221208.2386205
38,12.4,4096,34064150.30500191
38,18.9,512,69066416.78394881
38,56.3,64,142701480.1340639
38,60.0,12,132939097.2052942
38,60.0,18,125388578.71774869
38,60.0,24,119422221.53810179
38,100.0,50,8427375.148232099
38,500.0,200,57879282.1272984
38,2000.0,800,243147215.428939
40,8.5,262144,10300369.2299712
40,9.8,32768,17632121.658381797
40,12.4,4096,30839466.164725
40,18.9,512,64569420.8684415
40,56.3,64,132481064.28317149
40,60.0,12,125232503.6695079
40,60.0,18,118686136.2831517
40,60.0,24,112144339.5563618
40,100.0,50,8148682.604294999
40,500.0,200,57656752.9050832
40,2000.0,800,241862637.59211254
