arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
28,"{'L': 16.772, 'H': 64}",17065610.82185701,2237276.1087657465,5325073.964803305,811799.1454522479,3347795.0658482667
28,"{'L': 7.918, 'H': 512}",16421737.525599264,145444.7421566005,471658.5775537216,170449.9951657377,333842.7419684304
28,"{'L': 5.649, 'H': 4096}",16221362.606254075,337285.3378328207,674386.19949996,908424.2421016735,571039.6042429982
28,"{'L': 4.639, 'H': 32768}",17187045.74950928,153627.5057696375,229484.85180290224,1295717.2178438473,230125.58347345912
28,"{'L': 4.073, 'H': 262144}",18818099.23562122,171063.38717855437,272280.73820415576,3078015.7216687505,216900.93189518573
28,"{'L': 56.3, 'H': 64}",34821556.20169723,23027189.427385423,33684186.585429326,18927509.233429633,35477059.994642325
28,"{'L': 18.9, 'H': 512}",33529927.390395973,11626049.030725056,22650017.263620332,17536966.039010625,19993031.518748403
28,"{'L': 12.4, 'H': 4096}",33925406.762421556,6625890.299859484,14059664.545275325,17610206.97004544,10884506.613851773
28,"{'L': 9.8, 'H': 32768}",32149983.070136383,3522448.687611077,7399230.810493953,15944517.3227321,5619035.649213929
28,"{'L': 8.5, 'H': 262144}",37023361.6765327,2940316.247577631,6791235.12698294,21248780.48924594,4781916.959372152
28,"{'L': 32.3, 'H': 512}",52004713.240624264,24889504.979740757,45686939.15883367,35827814.91280382,42689951.634416655
28,"{'L': 19.7, 'H': 4096}",51200794.96339681,14567914.6675054,33937950.04835058,35169994.943891264,24442553.044666324
28,"{'L': 15.3, 'H': 32768}",52110086.570014775,10502995.677894806,26913334.598103225,35806417.68217213,17227232.221002158
28,"{'L': 13.0, 'H': 262144}",49484701.83866611,7238374.685793145,18128315.4405245,33449038.617031254,11675858.454166956
