arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20,4.073,262144,10159900.925586
20,4.639,32768,16114849.9086802
20,5.649,4096,27674531.2543992
20,7.918,512,53000059.9522493
20,16.772,64,108547555.2679188
22,4.073,262144,5926691.311224599
22,4.639,32768,10842833.8936666
22,5.649,4096,21345967.587482296
22,7.918,512,44555177.057742
22,16.772,64,100851353.9494783
24,4.073,262144,3740666.5363092
24,4.639,32768,7539187.663343599
24,5.649,4096,15580144.106255999
24,7.918,512,36344012.5759624
24,16.772,64,91418924.9526051
26,4.073,262144,2586565.6953621
26,4.639,32768,4526910.142549699
26,5.649,4096,10799091.9345997
26,7.918,512,28890148.0844908
26,16.772,64,78657900.6948279
28,4.073,262144,1600383.3511085
28,4.639,32768,3302226.4933242
28,5.649,4096,7811051.0137935
28,7.918,512,19779063.255039
28,16.772,64,62493186.677644
30,4.073,262144,916285.7668570001
30,4.639,32768,1702525.3794821003
30,5.649,4096,3797495.8221627
30,7.918,512,9295755.7621687
30,16.772,64,29506227.058288705
32,4.073,262144,789578.3420892
32,4.639,32768,758018.1990214
32,5.649,4096,1151968.0622483
32,7.918,512,820626.5276707
32,16.772,64,815117.5860972
34,4.073,262144,851281.4653633
34,4.639,32768,889810.9970449001
34,5.649,4096,363616.5092445
34,7.918,512,245398.8435756
34,16.772,64,215298.60257280004
36,4.073,262144,616461.0382492
36,4.639,32768,369436.1671827
36,5.649,4096,216772.9437107
36,7.918,512,129261.5260731
36,16.772,64,118181.3271777
38,4.073,262144,351289.0017907
38,4.639,32768,327580.4893984
38,5.649,4096,168371.0441359
38,7.918,512,98638.012777
38,16.772,64,76494.7263863
40,4.073,262144,227599.6064149
40,4.639,32768,226858.90214
40,5.649,4096,134659.3769453
40,7.918,512,73584.4567542
40,16.772,64,59464.15765749999
