arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
20,4.073,262144,5678129.6847276,4734379.3910261,4738984.7189956,4738984.7189956,4738984.7189956,4738984.7189956,4738984.7189956,4738984.7189956
20,4.639,32768,7818026.4741631,7807153.050824299,7714473.8719365,7714473.8719365,7714473.8719365,7714473.8719365,7714473.8719365,7714473.8719365
20,5.649,4096,14178955.817245001,14127206.846318,14102003.7632333,14100945.997180501,14100945.997180501,14100945.997180501,14100221.902785402,14100221.902785402
20,7.918,512,28111913.139707796,28119470.5586326,28117293.818870403,28117293.818870403,28117293.818870403,28110664.9493208,28117293.818870403,28110664.9493208
20,16.772,64,48232207.8744054,48286669.8553263,48286707.3202003,48286706.723028794,48286706.723028794,48286707.3202003,48286707.3202003,48286707.3202003
20,30.0,6,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318
20,30.0,9,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991
20,30.0,12,48416571.1882141,48612369.8517296,48612369.8517296,48612369.8517296,48612366.219782606,48612369.8517296,48612369.8517296,48612369.8517296
20,50.0,25,4218393.4067615,4226002.6780028995,4235310.158601301,4233553.9294972,4229494.461008901,4235310.158601301,4235310.158601301,4235310.158601301
20,250.0,100,28940330.975095004,28940330.975095004,28940330.975095004,28940330.975095004,28940330.975095004,28940330.975095004,28940330.975095004,28940330.975095004
20,1000.0,400,120699238.10567328,120699238.10567328,120699238.10567328,120699238.10567328,120699238.10567328,120699238.10567328,120699238.10567328,120699238.10567328
22,4.073,262144,3089737.0539743,3059323.323449,3059323.323449,3059323.323449,3059323.323449,3059323.323449,3059323.323449,3059323.323449
22,4.639,32768,5737936.5539887,5732706.025528001,5732706.025528001,5732706.0300898,5732706.0300898,5732706.025528001,5732706.025528001,5732706.025528001
