arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
24,"{'L': 16.772, 'H': 64}",17102019.169107605,5036249.285940977,10522135.694111723,3194563.454953587,9842216.674656274
24,"{'L': 7.918, 'H': 512}",16112337.857850486,1520750.2266056053,2851880.880497115,2089285.3419624136,2732700.8946695942
24,"{'L': 5.649, 'H': 4096}",15030492.995175608,406026.001890273,816226.9673436427,1129705.172128994,742137.169078601
24,"{'L': 4.639, 'H': 32768}",14855093.241814539,252428.2662223072,365494.9342631167,1293649.160883661,418992.12690216507
24,"{'L': 4.073, 'H': 262144}",15577074.888509363,170182.93052183583,287934.7170523207,1811123.3378362171,300795.7529736748
24,"{'L': 56.3, 'H': 64}",34840092.0300512,24510347.50178261,34630728.899920374,21052072.384428047,37327350.73027423
24,"{'L': 18.9, 'H': 512}",33221899.35864053,12445356.929986661,24304486.962687157,19480021.832587842,21072026.49696457
24,"{'L': 12.4, 'H': 4096}",35341151.391515754,8004460.988069965,17659034.031995606,21495019.29467359,13291601.654780662
24,"{'L': 9.8, 'H': 32768}",27764581.805814635,4232544.383694399,8728630.012605414,13731536.993798692,7000253.475262164
24,"{'L': 8.5, 'H': 262144}",27983153.249035105,3565809.9911058075,8143544.639031765,14017047.704856077,5921891.268561084
24,"{'L': 32.3, 'H': 512}",51512390.67098494,26194002.789430123,47245198.04027839,37648082.87501083,44645556.27977251
24,"{'L': 19.7, 'H': 4096}",50194958.73329527,15736397.565981643,36549627.061643176,36361931.11722015,26066029.092497364
24,"{'L': 15.3, 'H': 32768}",54578858.62060226,11953928.458213434,32970779.12532194,40815356.1825951,19736858.95310743
24,"{'L': 13.0, 'H': 262144}",44632043.80041511,7732152.805416872,22947418.378937945,30473674.048388306,12776313.148031399
