frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
2,50650870.3850483,2131410.7
4,50567445.3802353,2085213.2
8,50684473.540939495,2156669.4
16,51262905.1697648,2225222.7
32,51614834.689033106,2148509.6
64,53335227.2774994,2178756.9
128,53386559.425117,2122621.8
256,53766763.591906205,2128061.0
512,53446432.1070092,2099993.2
1024,54227317.2520705,2127644.0
2048,55263001.30464981,2148275.0
4096,52914603.4297785,2143176.4
8192,58191209.7754395,2150513.2
16384,54082882.3706483,2119324.4
32768,56021143.4636505,2126038.2
65536,63404507.411850795,2110272.5
