frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time,Dynamic_njobs100_mode7_maximum_flow_time,Dynamic_njobs100_mode8_maximum_flow_time
2,40659588.3220437,40068710.43231811,39311853.4037205,38739612.2306207,35863795.3162258,35070460.3354936,35064557.9469128,37409373.9881106,970021.4,993524.1,1099467.9,1179088.0,1315897.4,1376182.0,1376182.0,1316499.4
4,110296419.82592721,109913837.693149,109700932.2865624,109673728.9314003,109596484.10303731,109503158.76397792,109503158.7799375,109503563.2622746,2310754.9,2343825.3,2370751.1,2409204.0,2426981.5,2434062.6,2434062.6,2434062.6
8,75048825.9261519,72659130.8898723,72083636.63410011,71828283.3862144,70690362.59296921,69701979.64607409,69704752.1835644,70653491.47439949,1511603.2,1608593.8,1658355.5,1678392.0,1748572.4,1809330.9,1809330.9,1764888.9
16,73460746.08581981,72026025.2230867,70132915.218435,69920996.9960912,69014856.8112799,68922396.347882,68946794.994589,69002173.6871482,1434985.1,1459781.4,1586878.2,1672227.8,1778316.0,1880539.3,1862901.4,1778182.8
32,90564731.6857243,87889152.6187492,87608779.138609,87546292.93419799,87435372.25939831,86047915.62079391,86047914.7557711,87408651.9295266,1839769.5,1969055.9,1978047.7,2013082.7,2058303.4,2119795.0,2119795.0,2050320.3
64,81631836.8088193,82470876.05419931,79957495.6102867,79168689.3654255,78785830.2656448,78261227.4182136,78287115.33811739,78727636.8210119,1731240.7,1648262.4,1788920.8,1851493.9,1939111.5,2077604.1,2077604.1,1952626.5
128,94041628.9910602,93724564.9789058,90911580.1293287,90126677.7287493,90013133.0489721,89595976.714753,89752180.64702949,89871818.0255917,1858311.8,1888806.0,2033108.5,2075608.2,2110899.7,2195394.0,2179589.5,2121368.0
256,78335472.667064,75965369.06841171,71548213.2834695,71268195.0014374,70621896.7470585,69925774.5405571,70040993.2760728,70579945.8650503,1387171.6,1496711.2,1619295.2,1667015.2,1766183.8,2019152.5,1953322.5,1765686.2
512,60227277.1134323,59186508.6962631,58265578.1041155,57453292.4929112,56995276.718281604,55819940.6892347,55923197.6440116,57009427.9525576,1250539.8,1275044.8,1315309.0,1350083.1,1450379.5,1702254.3,1676033.4,1427237.9
1024,80290899.70298961,79795098.8894282,79373310.3135453,78385843.3498168,78164686.3894647,70590439.049868,71973266.02297929,78281909.925787,1503900.9,1511961.7,1528383.7,1580291.2,1626298.5,1985106.8,1899224.9,1633554.0
2048,75909647.4850297,74508537.7181991,71142659.5646394,70467157.3163083,69457483.64876589,67530304.4283318,68262569.3482207,69648396.9178622,1456176.0,1473536.3,1593471.2,1624927.8,1683617.0,1940855.9,1848098.4,1673277.3
4096,95830753.7303689,95420577.31610939,94901784.708226,93204783.668222,88662990.63855979,86180356.8691811,86443206.8337243,88794526.0597246,1758780.7,1763216.8,1777898.7,1809505.9,1898506.7,2158743.1,2152315.3,1892104.4
8192,153567719.1194599,153529164.3355013,145684982.5982089,147704715.3445359,141507276.13058358,133617470.1780858,138113508.8799789,141599207.51163942,2626172.1,2625783.6,2734684.8,2750109.5,2845268.9,2999513.4,2868506.9,2847763.1
16384,107592301.61659801,107462782.9488113,106776574.71053019,104953634.3633613,99369576.09190659,92889253.3154065,94477335.0468235,99449286.5952312,1964134.7,1964372.7,1965789.6,1968867.2,2065641.1,2328428.4,2188361.7,2066852.4
32768,90065924.598449,89971367.87812111,89838239.8009571,89547388.8276805,88483655.2968945,84773287.7448236,85405981.81124249,89379501.3985763,1611650.3,1607963.6,1607209.5,1606409.7,1616670.7,1850681.4,1799743.7,1610936.7
65536,152786165.0799981,153236377.8582374,153297243.9055085,153379145.9246789,153400992.6702142,156495149.3272863,154127110.5033267,153446991.8017036,2267089.7,2179433.0,2176692.0,2179508.9,2180730.9,2231728.2,2294138.3,2181831.2
