frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,72539322.9110439,1488921.6
4,220788536.38807112,2623252.8
8,142067059.8716599,2021743.7
16,140816703.4456995,2050141.2
32,178758653.17959172,2287119.4
64,157066438.125146,2222636.5
128,180218355.6483342,2310493.3
256,144565259.0244835,2064594.5
512,113666633.2455413,1829295.5
1024,144193531.1538689,2130152.3
2048,141849813.5365454,2024299.3
4096,172772299.5973733,2318025.3
8192,272197521.9505892,3156453.2
16384,182831743.81070298,2512279.9
32768,165225690.9668933,2146571.9
65536,277034364.8289576,2860343.9
