arrival_rate,bp_parameter,FCFS_Avg_Flow_Time,SRPT_Avg_Flow_Time,FCFS_L2_Norm,SRPT_L2_Norm,Scheduler_Chosen_Algo,Scheduler_Avg_Flow_Time,Scheduler_L2_Norm,Scheduler_L2_Norm_vs_FCFS,Scheduler_L2_Norm_vs_SRPT
40,"{'L': 4.639, 'H': 32768}",95.798,27.776,4132.8942643140535,2229.817032852696,SRPT,27.776,2229.817032852696,0.5395291750157523,1.0
40,"{'L': 4.639, 'H': 32768}",89.264,28.898,3808.7386363466844,2166.886937521199,SRPT,28.898,2166.886937521199,0.5689250810865987,1.0
40,"{'L': 4.639, 'H': 32768}",165.122,30.288,7073.527337898681,3230.9224688933655,SRPT,30.288,3230.9224688933655,0.4567625619516117,1.0
40,"{'L': 4.639, 'H': 32768}",38.942,21.848,1637.274259249195,1240.7264001382416,SRPT,21.848,1240.7264001382416,0.757799979526461,1.0
40,"{'L': 4.639, 'H': 32768}",51.08,21.742,2371.3683813359744,1433.1235117741946,SRPT,21.742,1433.1235117741946,0.6043445308007378,1.0
40,"{'L': 4.639, 'H': 32768}",77.434,25.492,3601.446792609881,2026.039979862194,SRPT,25.492,2026.039979862194,0.5625627967125879,1.0
40,"{'L': 4.639, 'H': 32768}",76.32,26.75,3373.2133048474716,1969.4621093080211,SRPT,26.75,1969.4621093080211,0.5838534155186119,1.0
40,"{'L': 4.639, 'H': 32768}",261.724,33.522,12225.036359864129,4136.154615098425,SRPT,33.522,4136.154615098425,0.33833474955361154,1.0
40,"{'L': 4.073, 'H': 262144}",87.96,28.712,3566.487067129222,2183.1825393218955,SRPT,28.712,2183.1825393218955,0.6121380782348408,1.0
40,"{'L': 4.073, 'H': 262144}",157.62,26.328,7915.5850068077725,2942.984879335944,SRPT,26.328,2942.984879335944,0.37179625723238896,1.0
40,"{'L': 4.073, 'H': 262144}",125.034,28.946,6444.405247965091,2733.894109141757,SRPT,28.946,2733.894109141757,0.4242275282121684,1.0
40,"{'L': 4.073, 'H': 262144}",28.568,19.782,1124.2295139338764,948.7407443553798,SRPT,19.782,948.7407443553798,0.8439030754810638,1.0
40,"{'L': 4.073, 'H': 262144}",342.504,32.236,15390.207406009837,4594.151717129072,SRPT,32.236,4594.151717129072,0.29851135828975683,1.0
40,"{'L': 4.073, 'H': 262144}",600.12,39.358,24314.97941598964,6906.61241130556,SRPT,39.358,6906.61241130556,0.28404763553958595,1.0
40,"{'L': 4.073, 'H': 262144}",526.362,32.206,26494.833175545755,5152.714721387164,SRPT,32.206,5152.714721387164,0.19447998359706697,1.0
40,"{'L': 4.073, 'H': 262144}",1199.874,46.726,44063.553363295614,9432.292245260427,SRPT,46.726,9432.292245260427,0.21406108961510598,1.0
40,"{'L': 4.073, 'H': 262144}",204.658,29.762,10552.554619616996,3462.1945352622806,SRPT,29.762,3462.1945352622806,0.3280906529330943,1.0
40,"{'L': 4.073, 'H': 262144}",143.272,25.996,7647.238586574895,2872.9859032024506,SRPT,25.996,2872.9859032024506,0.37568932506514435,1.0
40,"{'L': 4.073, 'H': 262144}",395.122,35.104,16437.364417691784,5521.6019414659,SRPT,35.104,5521.6019414659,0.3359177177773656,1.0
40,"{'L': 4.073, 'H': 262144}",47.176,20.63,2268.130948600631,1387.9283122697657,SRPT,20.63,1387.9283122697657,0.6119260059151681,1.0
40,"{'L': 4.073, 'H': 262144}",47.586,22.384,2109.0417255237035,1396.1826528072893,SRPT,22.384,1396.1826528072893,0.6619985920196046,1.0
40,"{'L': 4.073, 'H': 262144}",48.23,21.746,2258.2163315324774,1445.9982710916358,SRPT,21.746,1445.9982710916358,0.6403276120629011,1.0
40,"{'L': 4.073, 'H': 262144}",121.29,31.226,5511.5662928064285,2623.0163933913946,SRPT,31.226,2623.0163933913946,0.4759112480992737,1.0
40,"{'L': 4.073, 'H': 262144}",48.908,21.774,2328.075170607685,1455.4714012992492,SRPT,21.774,1455.4714012992492,0.6251823049679858,1.0
40,"{'L': 4.073, 'H': 262144}",626.324,37.362,25917.778724265703,6642.699376006715,SRPT,37.362,6642.699376006715,0.2562989462437011,1.0
40,"{'L': 4.073, 'H': 262144}",29.534,18.392,1267.0331487376327,1005.1487452113741,SRPT,18.392,1005.1487452113741,0.7933089566068744,1.0
40,"{'L': 4.073, 'H': 262144}",132.976,25.742,7201.981810585195,2574.26941092031,SRPT,25.742,2574.26941092031,0.3574390325641684,1.0
40,"{'L': 4.073, 'H': 262144}",76.114,24.712,3503.696761992967,1869.2329977827803,SRPT,24.712,1869.2329977827803,0.5335030753972916,1.0
