arrival_rate,bp_parameter,FCFS_Avg_Flow_Time,SRPT_Avg_Flow_Time,FCFS_L2_Norm,SRPT_L2_Norm,Scheduler_Chosen_Algo,Scheduler_Avg_Flow_Time,Scheduler_L2_Norm,Scheduler_L2_Norm_vs_FCFS,Scheduler_L2_Norm_vs_SRPT
40,"{'L': 16.772, 'H': 64}",31.684,31.478,763.9031352206902,776.2956910868435,FCFS,31.684,763.9031352206902,1.0,0.9840362944063192
40,"{'L': 16.772, 'H': 64}",35.256,34.188,903.6426284765455,977.0373585487916,FCFS,35.256,903.6426284765455,1.0,0.9248803237357675
40,"{'L': 16.772, 'H': 64}",34.088,33.646,834.5346008404924,849.5498808192489,FCFS,34.088,834.5346008404924,1.0,0.9823256052201705
40,"{'L': 16.772, 'H': 64}",36.244,35.694,890.5414083578596,914.2291835201937,FCFS,36.244,890.5414083578596,1.0,0.9740898938807384
40,"{'L': 16.772, 'H': 64}",33.63,33.176,814.0288692669321,825.8680281982104,FCFS,33.63,814.0288692669321,1.0,0.985664587407376
40,"{'L': 16.772, 'H': 64}",35.192,34.834,850.0599978825024,870.0741347724341,FCFS,35.192,850.0599978825024,1.0,0.976997205077052
40,"{'L': 16.772, 'H': 64}",33.42,32.914,819.3473012099325,830.5329614169447,FCFS,33.42,819.3473012099325,1.0,0.9865319490897404
40,"{'L': 16.772, 'H': 64}",32.904,32.584,802.4188432483375,819.9890243167893,FCFS,32.904,802.4188432483375,1.0,0.9785726631120567
40,"{'L': 16.772, 'H': 64}",32.794,32.38,800.781493292646,814.7097642719154,FCFS,32.794,800.781493292646,1.0,0.9829040087770192
40,"{'L': 16.772, 'H': 64}",33.222,33.034,801.2858416320607,816.5212795757377,FCFS,33.222,801.2858416320607,1.0,0.9813410399400818
40,"{'L': 16.772, 'H': 64}",31.636,31.382,762.9141498229011,775.1161203329473,FCFS,31.636,762.9141498229011,1.0,0.9842578806065795
40,"{'L': 16.772, 'H': 64}",32.186,32.012,776.0238398399885,788.3260746670758,FCFS,32.186,776.0238398399885,1.0,0.9843944844368078
40,"{'L': 16.772, 'H': 64}",37.21,36.21,934.175037131693,967.4290671672006,FCFS,37.21,934.175037131693,1.0,0.9656263894025005
40,"{'L': 16.772, 'H': 64}",32.684,32.378,795.5526381076239,817.0012239892912,FCFS,32.684,795.5526381076239,1.0,0.9737471802343977
40,"{'L': 16.772, 'H': 64}",35.462,34.864,864.7849443647825,884.644561391749,FCFS,35.462,864.7849443647825,1.0,0.9775507385749111
40,"{'L': 16.772, 'H': 64}",34.72,34.238,848.2570365166446,869.7844560579363,FCFS,34.72,848.2570365166446,1.0,0.9752497076817641
40,"{'L': 16.772, 'H': 64}",34.552,34.09,840.8198380152552,849.4780750555013,FCFS,34.552,840.8198380152552,1.0,0.9898075803313929
40,"{'L': 16.772, 'H': 64}",33.102,32.502,820.7697606515484,834.9988023943507,FCFS,33.102,820.7697606515484,1.0,0.9829592070048475
40,"{'L': 16.772, 'H': 64}",33.452,33.124,813.3805997194671,830.2457467521288,FCFS,33.452,813.3805997194671,1.0,0.9796865601556682
40,"{'L': 16.772, 'H': 64}",33.068,32.534,812.2782774394499,833.2148582448588,FCFS,33.068,812.2782774394499,1.0,0.9748725306585253
40,"{'L': 7.918, 'H': 512}",122.474,42.056,4839.175652939249,3141.7160915652453,SRPT,42.056,3141.7160915652453,0.6492254708003852,1.0
40,"{'L': 7.918, 'H': 512}",123.75,45.784,4074.286072430359,2898.602766851643,SRPT,45.784,2898.602766851643,0.7114382042207932,1.0
40,"{'L': 7.918, 'H': 512}",41.508,28.686,1427.4102423620197,1263.2937109002007,SRPT,28.686,1263.2937109002007,0.8850249727855072,1.0
40,"{'L': 7.918, 'H': 512}",151.572,46.686,5277.113794490318,3358.7933845355833,SRPT,46.686,3358.7933845355833,0.6364830313195828,1.0
40,"{'L': 7.918, 'H': 512}",91.652,38.634,3417.077113557726,2428.077222824678,SRPT,38.634,2428.077222824678,0.7105713866365337,1.0
40,"{'L': 7.918, 'H': 512}",78.23,36.58,2954.192444645406,2197.5795776262576,SRPT,36.58,2197.5795776262576,0.7438850443238592,1.0
40,"{'L': 7.918, 'H': 512}",147.444,45.892,5625.853712993256,3555.759553175664,SRPT,45.892,3555.759553175664,0.6320391063428149,1.0
40,"{'L': 7.918, 'H': 512}",40.796,27.938,1416.6283916398118,1274.7207537339305,SRPT,27.938,1274.7207537339305,0.8998271962193156,1.0
40,"{'L': 7.918, 'H': 512}",113.156,41.564,4123.04984204654,2822.4925154905195,SRPT,41.564,2822.4925154905195,0.6845642482191123,1.0
40,"{'L': 7.918, 'H': 512}",111.43,41.564,4219.180607653576,2901.454462851347,SRPT,41.564,2901.454462851347,0.6876819772986539,1.0
40,"{'L': 7.918, 'H': 512}",75.982,35.106,2692.6780349681617,2063.7361749991205,SRPT,35.106,2063.7361749991205,0.7664251530255908,1.0
40,"{'L': 7.918, 'H': 512}",80.004,35.936,3074.533135290625,2111.35406789103,SRPT,35.936,2111.35406789103,0.6867234714942992,1.0
40,"{'L': 7.918, 'H': 512}",61.698,33.576,2218.998197385478,1710.1403451179087,SRPT,33.576,1710.1403451179087,0.7706812683006556,1.0
40,"{'L': 7.918, 'H': 512}",92.492,38.7,3357.500260610563,2522.6327517100067,SRPT,38.7,2522.6327517100067,0.7513425334034866,1.0
40,"{'L': 7.918, 'H': 512}",106.046,38.396,4187.193690289476,2625.558607230088,SRPT,38.396,2625.558607230088,0.6270449378348614,1.0
40,"{'L': 7.918, 'H': 512}",137.976,48.906,4488.93639963856,3198.2693757718407,SRPT,48.906,3198.2693757718407,0.7124782111034941,1.0
40,"{'L': 7.918, 'H': 512}",78.706,36.504,2807.0092625426087,2012.4979503095153,SRPT,36.504,2012.4979503095153,0.7169545099707225,1.0
40,"{'L': 7.918, 'H': 512}",105.846,37.718,4403.944254869719,3052.152846762429,SRPT,37.718,3052.152846762429,0.6930498367202244,1.0
40,"{'L': 7.918, 'H': 512}",53.986,31.502,2231.0519940153795,1652.1280216738653,SRPT,31.502,1652.1280216738653,0.7405152484592775,1.0
40,"{'L': 7.918, 'H': 512}",109.522,41.466,3920.229712657155,2818.733935652672,SRPT,41.466,2818.733935652672,0.7190226446557177,1.0
40,"{'L': 5.649, 'H': 4096}",363.754,52.784,12214.88153851686,5425.681892628797,SRPT,52.784,5425.681892628797,0.4441862064335327,1.0
40,"{'L': 5.649, 'H': 4096}",246.038,33.99,10916.700188243698,3802.885877856447,SRPT,33.99,3802.885877856447,0.348354888590951,1.0
40,"{'L': 5.649, 'H': 4096}",597.538,50.328,20714.159818829245,6538.216423459841,SRPT,50.328,6538.216423459841,0.31563995260462263,1.0
40,"{'L': 5.649, 'H': 4096}",127.892,28.872,6147.996909563309,2740.959321113686,SRPT,28.872,2740.959321113686,0.4458296517439818,1.0
40,"{'L': 5.649, 'H': 4096}",171.544,38.712,10090.725147381629,3704.541267147661,SRPT,38.712,3704.541267147661,0.3671233943091718,1.0
40,"{'L': 5.649, 'H': 4096}",416.29,36.708,19150.000443864225,4877.723444394936,SRPT,36.708,4877.723444394936,0.254711401114238,1.0
40,"{'L': 5.649, 'H': 4096}",45.362,23.776,1944.1556007686215,1342.246624134328,SRPT,23.776,1342.246624134328,0.6904008216233675,1.0
40,"{'L': 5.649, 'H': 4096}",2748.096,96.106,81147.6943603452,18642.767257035637,SRPT,96.106,18642.767257035637,0.22973871782789532,1.0
40,"{'L': 5.649, 'H': 4096}",1022.488,52.266,35025.32857804478,9607.70081757337,SRPT,52.266,9607.70081757337,0.2743072287292073,1.0
40,"{'L': 5.649, 'H': 4096}",69.09,25.196,3378.3263607887266,1841.0165670085644,SRPT,25.196,1841.0165670085644,0.5449492945313751,1.0
40,"{'L': 5.649, 'H': 4096}",357.434,38.672,14365.695493083515,4899.896529519781,SRPT,38.672,4899.896529519781,0.34108314017089375,1.0
40,"{'L': 5.649, 'H': 4096}",685.714,54.19,23092.032846850016,8346.914100432567,SRPT,54.19,8346.914100432567,0.3614629407376393,1.0
40,"{'L': 5.649, 'H': 4096}",122.644,32.428,5491.470841222777,2778.176740238101,SRPT,32.428,2778.176740238101,0.5059075829708838,1.0
40,"{'L': 5.649, 'H': 4096}",98.166,26.262,5445.834279520448,2236.7751339819565,SRPT,26.262,2236.7751339819565,0.4107313992997458,1.0
40,"{'L': 5.649, 'H': 4096}",98.836,29.488,4240.1778264596405,2452.2348990257847,SRPT,29.488,2452.2348990257847,0.5783330321014606,1.0
40,"{'L': 5.649, 'H': 4096}",56.136,26.444,2366.06297464797,1661.1724774989502,SRPT,26.444,1661.1724774989502,0.702082951847934,1.0
40,"{'L': 5.649, 'H': 4096}",544.418,43.402,24476.047699741066,6057.875452664903,SRPT,43.402,6057.875452664903,0.24750219181542898,1.0
40,"{'L': 5.649, 'H': 4096}",124.398,31.458,5463.602566073048,2750.527767538441,SRPT,31.458,2750.527767538441,0.5034274975669353,1.0
40,"{'L': 5.649, 'H': 4096}",71.126,28.134,4630.238978713734,2122.8280665188126,SRPT,28.134,2122.8280665188126,0.4584705187524744,1.0
40,"{'L': 5.649, 'H': 4096}",220.364,39.328,9498.552942422335,4187.279785254384,SRPT,39.328,4187.279785254384,0.44083344175018485,1.0
40,"{'L': 4.639, 'H': 32768}",43.102,20.628,1930.3292465276488,1266.0616098752857,SRPT,20.628,1266.0616098752857,0.6558785824504947,1.0
40,"{'L': 4.639, 'H': 32768}",1474.35,44.334,56063.448868224295,9936.429590149572,SRPT,44.334,9936.429590149572,0.17723543218871346,1.0
40,"{'L': 4.639, 'H': 32768}",42.748,20.472,2051.26107553378,1305.6500296787037,SRPT,20.472,1305.6500296787037,0.6365108982233999,1.0
40,"{'L': 4.639, 'H': 32768}",684.398,50.66,23127.15726153995,7614.266084134439,SRPT,50.66,7614.266084134439,0.32923484706859446,1.0
40,"{'L': 4.639, 'H': 32768}",1265.88,57.216,38186.40140154608,9727.139250571054,SRPT,57.216,9727.139250571054,0.25472783225332213,1.0
40,"{'L': 4.639, 'H': 32768}",343.898,33.58,15027.587530937892,4422.998756499938,SRPT,33.58,4422.998756499938,0.2943252699339887,1.0
40,"{'L': 4.639, 'H': 32768}",518.836,48.652,21372.487173934624,7320.899534893236,SRPT,48.652,7320.899534893236,0.34253849237638706,1.0
40,"{'L': 4.639, 'H': 32768}",129.126,32.264,5327.0672043817885,2899.7224005066414,SRPT,32.264,2899.7224005066414,0.5443374917668524,1.0
40,"{'L': 4.639, 'H': 32768}",80.122,22.43,3960.439243316327,1920.9469019210292,SRPT,22.43,1920.9469019210292,0.4850338015316954,1.0
40,"{'L': 4.639, 'H': 32768}",250.564,28.35,12147.74604607785,3821.2517582593273,SRPT,28.35,3821.2517582593273,0.31456467263678906,1.0
40,"{'L': 4.639, 'H': 32768}",84.754,27.502,3501.5906385527137,2056.0338032240616,SRPT,27.502,2056.0338032240616,0.5871713787976846,1.0
40,"{'L': 4.639, 'H': 32768}",73.49,21.126,3997.4588177991277,1838.240191052301,SRPT,21.126,1838.240191052301,0.4598521898130215,1.0
