frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,364588.8801814,2131410.7
4,388842.6137808889,2085213.2
8,345733.3426979,2156669.4
16,349223.4994568,2225222.7
32,422302.10582955554,2148509.6
64,330453.77313429996,2178756.9
128,417578.1596498,2122621.8
256,488782.6419025556,2128061.0
512,516847.4857701,2099993.2
1024,586690.102023,2127644.0
2048,758282.4873119,2148275.0
4096,843752.4015987,2143176.4
8192,964552.1197158999,2150513.2
16384,851765.6314466,2119324.4
32768,733438.9824373999,2126038.2
65536,575613.1871682,2110272.5
