arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time
20,4.073,262144,5594954.2949864,4734160.4920159,4738779.408225701,4738779.408225701,4738779.408225701,4738779.408225701,4738779.408225701,4738779.408225701
20,4.639,32768,7807604.6409519,7801501.4418702,7709902.283779999,7709902.283779999,7709902.283779999,7709902.283779999,7709902.283779999,7709902.283779999
20,5.649,4096,13017033.283690099,12985099.2758775,12969549.9516542,12967464.3753747,12967464.3753747,12967464.3753747,12967048.380484,12967048.380484
20,7.918,512,25662627.5792647,25558573.341502897,25555403.823078804,25555403.823078804,25555403.823078804,25550990.5507916,25555403.823078804,25550990.5507916
20,16.772,64,48230038.0008685,48286676.891289696,48286707.320200294,48286706.723028794,48286706.723028794,48259018.813161395,48255694.69233911,48286707.320200294
20,30.0,6,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318,48423868.8933318
20,30.0,9,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991,48362045.7239991
20,30.0,12,48422662.412919894,48612369.8517296,48612369.8517296,48612369.8517296,48612366.219771296,48590433.3322112,48525429.5163015,48612369.8517296
20,50.0,25,4103122.7448910996,4105605.5765673993,4110729.7068689005,4110556.0890129,4109370.4544639997,4110729.7068689005,4110729.7068689005,4110729.7068689005
20,250.0,100,28927438.023850095,28927438.023850095,28927438.023850095,28927438.023850095,28927438.023850095,28927438.023850095,28927438.023850095,28927438.023850095
20,1000.0,400,120698641.60728431,120698641.60728431,120698641.60728431,120698641.60728431,120698641.60728431,120698641.60728431,120698641.60728431,120698641.60728431
22,4.073,262144,3089079.9407076,3059051.0180401998,3059051.0180401998,3059051.0180401998,3059051.0180401998,3059051.0180401998,3059051.0180401998,3059051.0180401998
22,4.639,32768,5737706.9749826,5732487.5508026,5732487.5508026,5732487.555364501,5732487.555364501,5732487.5508026,5732487.5508026,5732487.5508026
22,5.649,4096,10685956.7518828,10659232.142044999,10660226.4718998,10660400.8785649,10660400.8785649,10660226.4718998,10660226.4718998,10660226.4718998
22,7.918,512,20954624.1367089,20897211.365259,20888441.264861904,20884383.0356119,20885148.8777608,20884383.0356119,20884383.0356119,20885368.2318017
22,16.772,64,39171553.7394398,39186450.7036532,39186450.7036532,39186450.7036532,39186449.7812253,39167068.9202368,39124546.8271235,39186450.7036532
22,30.0,6,39449831.0109906,39449831.0109906,39449831.0109906,39449831.0109906,39449831.0109906,39449831.0109906,39449831.0109906,39449831.0109906
22,30.0,9,39500973.2991724,39500973.2991724,39500973.2991724,39500973.2991724,39500973.2991724,39500973.2991724,39500973.2991724,39500973.2991724
22,30.0,12,39536431.4083633,39544012.4548935,39544012.4548935,39544012.4548935,39544012.4548935,39534017.445142,39461777.995522305,39544012.4548935
22,50.0,25,3872679.8101816005,3878793.1728569,3894374.6901637004,3900334.725039,3898926.2686083005,3900099.2838481003,3900490.8433486,3899384.6057592006
22,250.0,100,28549081.715578996,28549081.715578996,28549081.715578996,28549081.715578996,28549081.715578996,28549081.715578996,28549081.715578996,28549081.715578996
22,1000.0,400,121340684.19403479,121340684.19403479,121340684.19403479,121340684.19403479,121340684.19403479,121340684.19403479,121340684.19403479,121340684.19403479
24,4.073,262144,2374177.2043534,2272722.8781355,2272722.8781355,2272722.8781355,2272722.8781355,2272722.8781355,2272722.8781355,2272722.8781355
24,4.639,32768,4095617.1249655997,4097258.5608711005,4097258.5608711005,4097258.5608711005,4097258.5608711005,4097258.5608711005,4097258.5608711005,4097258.5608711005
24,5.649,4096,8264300.5011617,8259530.543453599,8259530.543453599,8259530.543453599,8258132.42823,8259530.543453599,8259530.543453599,8259530.543453599
24,7.918,512,15995437.185897399,15866992.0267477,15861875.294824999,15861069.8719197,15860662.875932798,15862604.9649998,15862604.9649998,15859697.6577389
24,16.772,64,29791253.396532405,29799506.013925504,29799506.013925504,29799506.013925504,29799504.979486205,29798458.9142223,29788527.3896634,29799506.013925504
24,30.0,6,30333462.850601397,30333462.850601397,30333462.850601397,30333462.850601397,30333462.850601397,30333462.850601397,30333462.850601397,30333462.850601397
24,30.0,9,29951139.8967358,29951139.8967358,29951139.8967358,29951139.8967358,29951139.8967358,29951139.8967358,29951139.8967358,29951139.8967358
24,30.0,12,30233853.8929101,30246790.824613295,30246790.824613295,30246790.824613295,30246790.824613295,30246790.824613295,30246790.824613295,30246790.824613295
24,50.0,25,3613531.5996127003,3619017.0711415997,3652482.4387073005,3706190.2346437997,3691368.8389935,3703978.5540529997,3704538.5795177007,3638110.4834853
24,250.0,100,28544955.444648903,28544955.444648903,28544955.444648903,28544955.444648903,28544955.444648903,28544955.444648903,28544955.444648903,28544955.444648903
24,1000.0,400,120703251.15820232,120703251.15820232,120703251.15820232,120703251.15820232,120703251.15820232,120703251.15820232,120703251.15820232,120703251.15820232
26,4.073,262144,2574171.3558606,1346938.0657751998,1346938.0657751998,1346938.0657751998,1346938.0657751998,1346938.0657751998,1346938.0657751998,1346938.0657751998
26,4.639,32768,2722032.1542359,2722739.136358,2722739.136358,2722739.136358,2722739.136358,2722739.136358,2722739.136358,2722739.136358
26,5.649,4096,5893283.5196427,5880916.9328044,5886472.8491453,5886472.8491453,5886472.8491453,5886472.8491453,5886472.8491453,5886472.8491453
26,7.918,512,11279477.848237198,11297847.2112162,11303505.3749797,11306553.969880398,11307477.970932,11309367.8066112,11309367.8066112,11308713.819813801
26,16.772,64,20765509.6336791,20769710.153739996,20769710.153739996,20769710.153739996,20769710.4521047,20769710.153739996,20769710.153739996,20769710.153739996
26,30.0,6,20620265.8308711,20620265.8308711,20620265.8308711,20620265.8308711,20620265.8308711,20620265.8308711,20620265.8308711,20620265.8308711
26,30.0,9,20514141.6623396,20514141.6623396,20514141.6623396,20514141.6623396,20514141.6623396,20514141.6623396,20514141.6623396,20514141.6623396
26,30.0,12,20888195.645211704,20900793.796163503,20900793.796163503,20900793.796163503,20900793.796163503,20900793.796163503,20900793.796163503,20900793.796163503
26,50.0,25,3386347.7541103,3377153.0184033,3418386.0788232,3524472.7699818,3486684.5717567005,3526867.3202639,3501245.7119371993,3352927.8703594
26,250.0,100,28278984.1994269,28278984.1994269,28278984.1994269,28278984.1994269,28278984.1994269,28278984.1994269,28278984.1994269,28278984.1994269
26,1000.0,400,120706625.0524358,120706625.0524358,120706625.0524358,120706625.0524358,120706625.0524358,120706625.0524358,120706625.0524358,120706625.0524358
28,4.073,262144,2066776.5079408996,1028896.1707518001,1028896.1717299,1028896.1717299,1033115.5420091,1028896.1707518001,1028896.1707518001,1028896.1707518001
28,4.639,32768,1515177.8881327999,1511499.1094913,1511499.1094913,1511499.1094913,1511499.1094913,1511499.1094913,1511499.1094913,1511499.1094913
28,5.649,4096,3873763.7870913,3891247.5298966006,3891247.2864915007,3891247.2864915007,3891220.8321313,3891247.2864915007,3891247.2864915007,3891247.2864915007
28,7.918,512,7896041.5990237,7948936.5005775,7957140.866170099,7961786.7709647,7958030.467640899,7959463.6446189005,7946677.9915155,7964551.1959013
28,16.772,64,11381546.0494823,11384105.7088782,11384105.7088782,11384105.7088782,11384105.7088782,11384105.7088782,11384105.7088782,11384105.7088782
28,30.0,6,11137615.4552408,11137615.4552408,11137615.4552408,11137615.4552408,11137615.4552408,11137615.4552408,11137615.4552408,11137615.4552408
28,30.0,9,11408015.589040402,11408015.589040402,11408015.589040402,11408015.589040402,11408015.589040402,11408015.589040402,11408015.589040402,11408015.589040402
28,30.0,12,11460938.041331101,11472515.101987,11472515.101987,11472515.101987,11472515.0229403,11472515.101987,11472515.101987,11472515.101987
28,50.0,25,3135473.4678713,3235949.0197231,3334465.8857110003,3138951.4513817998,3248792.04439,3295065.3225361006,3253391.3484392,3319713.864805
28,250.0,100,28145521.763480198,28145521.763480198,28145521.763480198,28145521.763480198,28145521.763480198,28145521.763480198,28145521.763480198,28145521.763480198
28,1000.0,400,120043203.04915571,120043203.04915571,120043203.04915571,120043203.04915571,120043203.04915571,120043203.04915571,120043203.04915571,120043203.04915571
30,4.073,262144,1833374.5627238997,891179.8756665001,891179.8756665001,891179.8756665001,891179.8756665001,891179.8756665001,891179.8756665001,891179.8756665001
30,4.639,32768,1189554.0083929,1179435.0282783,1179435.0282783,1179435.0282783,1179435.0464579999,1179435.0282783,1179435.0282783,1179435.0282783
30,5.649,4096,1370546.7488927997,1373170.1503408,1366991.976947,1373170.1503408,1373170.1503408,1373170.1503408,1373170.1503408,1373170.1503408
30,7.918,512,3079162.5352345,3218069.4457048,3214628.9682535,3213255.2116505997,3055698.713462,2752207.3878659997,2651460.2450214997,3119843.7940168
30,16.772,64,2566148.9124967,2566667.2509614,2566667.2509614,2566667.269833,2566667.269833,2566667.2509614,2566667.2509614,2566667.2509614
30,30.0,6,2663194.6727365004,2663194.6727365004,2663194.6727365004,2663194.6727365004,2663194.6727365004,2663194.6727365004,2663194.6727365004,2663194.6727365004
30,30.0,9,2554933.2758258004,2554991.2216694006,2554991.2216694006,2554991.2216694006,2554991.2216694006,2554991.2216694006,2554991.2216694006,2554991.2216694006
30,30.0,12,2730554.2192194,2732070.2460870994,2732070.2460870994,2732070.2460870994,2732070.2460870994,2732070.2460870994,2732070.2460870994,2732070.2460870994
30,50.0,25,2891230.9834962003,2967494.126766,3029601.6580458,2920046.758416,2993202.4927467,2984910.9787560003,2988956.1967552,3040828.8558964003
30,250.0,100,28029250.622735403,28029250.622735403,28029250.622735403,28029250.622735403,28029250.622735403,28029250.622735403,28029250.622735403,28029250.622735403
30,1000.0,400,119636119.41908923,119636119.41908923,119636119.41908923,119636119.41908923,119636119.41908923,119636119.41908923,119636119.41908923,119636119.41908923
32,4.073,262144,3197796.9071331006,681139.6216601001,681139.6216601001,681140.5299066,681140.5299066,681139.6216601001,681139.6216601001,681139.6216601001
32,4.639,32768,632840.7040314999,588059.6199012,588059.6199012,588059.6199012,588059.6199012,588059.6199012,588059.6199012,588059.6199012
32,5.649,4096,405542.94430740003,408172.81344580004,408172.81344580004,408172.81344580004,407266.82458290004,408172.81344580004,408172.81344580004,408172.81344580004
32,7.918,512,336832.29532499996,358612.2817844,358872.62278900004,358860.15091230004,347019.5979564,333772.94352790003,327601.42400840006,344021.97094569996
32,16.772,64,95679.8993155,95519.1915621,95497.8340454,95497.8340454,95497.8340454,95497.8340454,95497.8340454,95497.8340454
32,30.0,6,88762.2573131,88762.2573131,88762.2573131,88762.2573131,88762.2573131,88762.2573131,88762.2573131,88762.2573131
32,30.0,9,98300.91342839999,98290.76831300001,98290.76831300001,98290.76831300001,98290.76831300001,98290.76831300001,98290.76831300001,98290.76831300001
32,30.0,12,109603.7277705,109525.04602980001,109525.04602980001,109525.04602980001,109525.04602980001,109525.04602980001,109525.04602980001,109525.04602980001
32,50.0,25,2674270.1018521995,2753666.6960605998,2758792.2288478003,2751663.23949,2759605.1076393,2701204.2689854996,2732721.7121177,2758842.8300857004
32,250.0,100,27709448.378552802,27709448.378552802,27709448.378552802,27709448.378552802,27709448.378552802,27709448.378552802,27709448.378552802,27709448.378552802
32,1000.0,400,119735201.6370419,119735201.6370419,119735201.6370419,119735201.6370419,119735201.6370419,119735201.6370419,119735201.6370419,119735201.6370419
34,4.073,262144,965813.1006264001,470516.2434494,470516.2434494,470516.2434494,470516.2434494,470516.2434494,470516.2434494,470516.2434494
34,4.639,32768,463007.8217393,435297.66119260003,435297.66119260003,435297.66119260003,436526.06512990006,435297.66119260003,435297.66119260003,435297.66119260003
34,5.649,4096,230932.0254157,230560.8824062,230560.8824062,230560.8824062,230560.8824062,230560.8824062,230560.8824062,230560.8824062
34,7.918,512,108360.1900643,108371.74615519999,108343.73411620001,108343.73411620001,108343.73411620001,108343.73411620001,108343.73411620001,108343.73411620001
34,16.772,64,49251.3746228,49108.9429699,49108.7600066,49108.7600066,49108.7600066,49108.7600066,49108.7600066,49108.7600066
