family,avg_job_size,inter_arrival,load,status
avg_30,30,20,1.5,OVERLOAD ✗✗
avg_30,30,22,1.3636363636363635,OVERLOAD ✗✗
avg_30,30,24,1.25,OVERLOAD ✗✗
avg_30,30,26,1.1538461538461537,OVERLOAD ✗✗
avg_30,30,28,1.0714285714285714,OVERLOAD ✗✗
avg_30,30,30,1.0,CRITICAL ⚠⚠
avg_30,30,32,0.9375,NEAR-CRITICAL ⚠
avg_30,30,34,0.8823529411764706,STABLE ✓
avg_30,30,36,0.8333333333333334,STABLE ✓
avg_30,30,38,0.7894736842105263,STABLE ✓
avg_30,30,40,0.75,STABLE ✓
avg_60,60,20,3.0,OVERLOAD ✗✗
avg_60,60,22,2.727272727272727,OVERLOAD ✗✗
avg_60,60,24,2.5,OVERLOAD ✗✗
avg_60,60,26,2.3076923076923075,OVERLOAD ✗✗
avg_60,60,28,2.142857142857143,OVERLOAD ✗✗
avg_60,60,30,2.0,OVERLOAD ✗✗
avg_60,60,32,1.875,OVERLOAD ✗✗
avg_60,60,34,1.7647058823529411,OVERLOAD ✗✗
avg_60,60,36,1.6666666666666667,OVERLOAD ✗✗
avg_60,60,38,1.5789473684210527,OVERLOAD ✗✗
avg_60,60,40,1.5,OVERLOAD ✗✗
avg_90,90,20,4.5,OVERLOAD ✗✗
avg_90,90,22,4.090909090909091,OVERLOAD ✗✗
avg_90,90,24,3.75,OVERLOAD ✗✗
avg_90,90,26,3.4615384615384617,OVERLOAD ✗✗
avg_90,90,28,3.2142857142857144,OVERLOAD ✗✗
avg_90,90,30,3.0,OVERLOAD ✗✗
avg_90,90,32,2.8125,OVERLOAD ✗✗
avg_90,90,34,2.6470588235294117,OVERLOAD ✗✗
avg_90,90,36,2.5,OVERLOAD ✗✗
avg_90,90,38,2.3684210526315788,OVERLOAD ✗✗
avg_90,90,40,2.25,OVERLOAD ✗✗
