arrival_rate,bp_parameter,SJF/SRPT,RR/SRPT,MLFQ/SRPT,RMLFQ/SRPT,SETF/SRPT,FCFS/SRPT,SJF/FCFS,RR/FCFS,MLFQ/FCFS,RMLFQ/FCFS,SETF/FCFS,SPRT/FCFS,SJF_L2_Norm/SRPT_L2_Norm,RR_L2_Norm/SRPT_L2_Norm,MLFQ_L2_Norm/SRPT_L2_Norm,RMLFQ_L2_Norm/SRPT_L2_Norm,SETF_L2_Norm/SRPT_L2_Norm,FCFS_L2_Norm/SRPT_L2_Norm,SJF_L2_Norm/FCFS_L2_Norm,RR_L2_Norm/FCFS_L2_Norm,MLFQ_L2_Norm/FCFS_L2_Norm,RMLFQ_L2_Norm/FCFS_L2_Norm,SETF_L2_Norm/FCFS_L2_Norm,SRPT_L2_Norm/FCFS_L2_Norm,Rmlfq_L2_Norm/RR_L2_Norm,FCFS_average_flow_time,SJF_average_flow_time,SRPT_average_flow_time,RMLFQ_average_flow_time,MLFQ_average_flow_time,SETF_average_flow_time,FCFS_L2N,SJF_L2N,SRPT_L2N,RMLFQ_L2N,MLFQ_L2N,SETF_L2N
0.05,"{'L': 16.772, 'H': 64}",1.00000488752195,2.884945975170848,3.7004014207693015,2.830091728591545,3.7761096122231494,1.7493671562208468,0.5716380829295195,1.6491369264089701,2.1152800357606285,1.6177803033100178,2.1585575096657634,0.5716352890494968,0.9999992931316816,1.3311696553900534,1.7421210437360404,1.5961383344817257,1.978877798874547,0.8107848268805825,1.2333719872127895,1.641828523742362,2.1486848125151594,1.968633701031032,2.4406941684985535,1.2333728590449884,1.1990495186085295,481101.54663,275015.96581,275014.62167,778316.60603,1017664.49676,1038485.35639,175579808.41911176,216555217.22432074,216555370.3004512,345652328.07443553,377265667.73446673,428536614.5146193
0.05,"{'L': 7.918, 'H': 512}",1.0004980865617596,5.294201986775367,3.2349272625273566,4.363750568458353,3.068209812388483,8.91118350702677,0.11227443422894759,0.5941076157393358,0.3630188133794469,0.4896937163304276,0.3443100245852973,0.11221853968235151,0.9999900670059247,1.4637094631001364,1.6640055717120843,1.7376317483091543,1.7656742244606045,1.7243886113310343,0.5799099231083675,0.848828073603616,0.9649829283131597,1.0076799028311245,1.023942174552929,0.579915683407415,1.1871425252856196,397388.85728,44616.60912,44594.39725,194598.8263497451,144259.63142,136824.96722,144834736.31873122,83991100.80201611,83991935.09340976,145947053.02023062,139763047.9743136,148302394.85700172
0.05,"{'L': 5.649, 'H': 4096}",1.0074745788624075,7.629493896203957,3.04412797804222,6.243802586743995,2.91140958025416,41.30730362061769,0.024389744441211777,0.1847008453099769,0.07369466683181922,0.15115492998743035,0.07048171449276079,0.024208793902027306,1.00086578177857,1.4936641061262343,1.6510187692588874,1.657389738755837,1.7285215205860336,3.773994207171386,0.2652006672073618,0.3957780600955765,0.43747252343991494,0.43916064725442516,0.45800852510623297,0.2649712599186795,1.1096134210885065,369396.57821,9009.48814,8942.64563,55836.113916928894,27222.55776,26035.70416,136726373.0647916,36259925.36162539,36228559.33508923,60044842.491883874,59814031.445441596,62621844.47052977
0.05,"{'L': 4.073, 'H': 262144}",1.0708658978901173,9.782945984310679,2.9488732078543896,3.7821940233241755,2.807224092795028,208.70818574861363,0.005130924280947762,0.046873801088444675,0.014129168902873173,0.0181219246852147,0.013450474320045567,0.004791378912202741,0.9981069356615196,1.4660311065145633,1.7063491125246897,1.5246760707332907,1.7316616630933346,9.382462573935817,0.10638006043682274,0.15625227331970937,0.18186580538726296,0.16250276073243206,0.18456366326510437,0.10658182669206358,1.0400025374346618,426474.8494,2188.21016,2043.4026,7728.545100965081,6025.73518,5736.28901,153267066.5315505,16304559.800600873,16335483.922666693,24906321.440738294,27874038.494103648,28287531.256959435
0.04545,"{'L': 16.772, 'H': 64}",1.0000088956412228,3.0049305742555035,3.921217738986014,3.236708168122305,3.99162593592621,1.8169116047539127,0.5503894042091643,1.6538672362448248,2.1581774967622125,1.7814340332537493,2.1969290776074084,0.550384508186045,0.9999989500236718,1.2217700528991677,1.7672088802683485,1.7067344374758502,2.0335821169539687,0.7310827357828544,1.367832806163666,1.6711789146420999,2.4172488198288455,2.334529806189792,2.781603254214967,1.3678342423572414,1.3969358910262195,382567.63793,210561.17431,210559.30125,681519.01023,825648.86717,840473.96792,139725290.75124016,191120836.54030296,191121037.21286786,326192855.93730503,337750794.16867757,388660323.4497821
0.04545,"{'L': 7.918, 'H': 512}",1.0010204028482705,6.171939039039726,3.3433580982303743,5.18933996694347,3.2012378556852195,10.687766889389872,0.09366038885466516,0.577476951257875,0.3128210161048184,0.4855401526482686,0.29952354769855644,0.09356491494895305,0.9999797724985622,1.3825910295710784,1.691243488733075,1.6174948694610347,1.8105991924943352,1.5567639011118384,0.6423451698644722,0.8881186341638793,1.0863840608875832,1.03901103327603,1.163053171518949,0.6423581631651412,1.169901174581489,278833.88452,26115.69005,26089.06869,135385.0468533505,87225.09908,83517.31431,101401869.90306075,65135001.347456664,65136318.892440714,105357661.62410071,110161375.20688154,117935766.38870667
0.04545,"{'L': 5.649, 'H': 4096}",1.0199183414626922,9.24806637379813,3.077991119432339,5.395966325557503,2.911944617600023,56.84473603631372,0.017942177457049763,0.16268993434836695,0.05414733771419129,0.09492464389509057,0.05122628444856892,0.017591778407787435,0.9998424140910275,1.4814477050916395,1.6917803257882478,1.5120939662630974,1.7267691801382647,3.666093712781518,0.27272691110027103,0.40409433613949924,0.4614667431686218,0.4124537136056596,0.4710106493235658,0.27276989579223976,1.0206866979280664,264810.02216,4751.26841,4658.47923,25136.997053389045,14338.7577,13565.23352,97551283.58794059,26604860.2468056,26609053.458681785,40235389.18284493,45016673.12924557,45947693.4251032
0.04545,"{'L': 4.073, 'H': 262144}",1.3274339933953583,11.564280352257704,2.947212313708476,3.4075245531397664,2.6873631434515763,445.2556150010975,0.0029812852408207953,0.025972228002625414,0.006619146877465457,0.007652962564282019,0.006035551384219944,0.0022459009304072117,0.9939734613446233,1.5007276339190907,1.6036393798764603,1.5564016571264692,1.6628985140044603,13.080598416170085,0.07598837833870695,0.11472927966842161,0.12259679021214043,0.11898550873654704,0.1271270977900219,0.07644910180590908,1.0370980196199813,415211.08851,1237.86269,932.52297,3177.5949166418177,2748.34318,2506.02786,151095617.9430369,11481510.981576206,11551124.278553972,17978188.968815193,18523837.774936218,19208347.397888243
0.0416,"{'L': 16.772, 'H': 64}",1.0000176669588448,3.163493787260126,4.261842107772795,3.9604550172849735,4.3082490800804045,1.906552967071234,0.5245160686487665,1.6592740101628287,2.235365175466201,2.0772855964074566,2.2597059481114523,0.5245068022086781,0.9999969519193751,1.0757305910491677,1.9032506920126329,1.9180930757482506,2.1135209880947796,0.630187884621075,1.586823511405114,1.7069997968875465,3.020132151789996,3.043684467056327,3.35379501839458,1.5868283481858572,1.78306082555254,278577.31506,146118.27811,146115.69669,578684.64406,622722.02876,629502.81585,101583127.91936961,161194495.74452895,161194987.0798459,309186988.56318116,306794470.70868415,340688988.36892116
0.0416,"{'L': 7.918, 'H': 512}",1.003966668805761,7.149334334266011,3.5539618402418878,6.071168811697643,3.4657345398641892,12.850788480459201,0.07812490808111767,0.5563342938168524,0.27655593628717895,0.47243551015794955,0.2696904197850704,0.07781623684185539,1.0006686219549983,1.276529376451849,1.8107470722446657,1.4314749798607447,1.8821664747337528,1.381056126458112,0.724567671642235,0.9243139015107702,1.3111321383357162,1.0365074615265188,1.3628457516500794,0.7240835334944878,1.1213803663802642,182854.83978,14285.51755,14229.07552,86387.11951631443,50569.59142,49314.1985,67122877.33414888,48635066.94393161,48602570.198427595,69573363.19597457,88006961.69036861,91478128.21337421
