arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
30,"{'L': 16.772, 'H': 64}",17700821.09959456,201506.40943156125,602684.649529918,74238.41075211672,365375.39139082696
30,"{'L': 7.918, 'H': 512}",17158979.796463426,70362.52791081344,158515.26893646555,95409.06695382782,134525.05991078392
30,"{'L': 5.649, 'H': 4096}",17703959.707455505,131756.17549094235,237435.14363716252,438750.59466170525,240184.61888722185
30,"{'L': 4.639, 'H': 32768}",17566118.95253613,71666.72111935916,91786.29907562457,361661.6540773987,91016.23771613503
30,"{'L': 4.073, 'H': 262144}",20068826.74449944,164311.058170167,168843.95536115588,2834352.047748127,168897.02038224356
30,"{'L': 56.3, 'H': 64}",34834722.648091145,22029440.289422356,32882312.300522435,17434146.814033803,34135736.32801814
30,"{'L': 18.9, 'H': 512}",33699926.155336305,11025233.670549981,21887177.431331545,16358631.250298632,18652135.369339433
30,"{'L': 12.4, 'H': 4096}",34630181.56310621,6327336.828642047,13675843.191256838,17448662.4756969,10509274.738746962
30,"{'L': 9.8, 'H': 32768}",32621644.271285206,3546695.3352323626,7948329.187138515,15220660.80508445,5834785.732732694
30,"{'L': 8.5, 'H': 262144}",31449116.321541626,2263434.409293099,5174708.870341499,14247803.87372826,3771452.578715925
30,"{'L': 32.3, 'H': 512}",50827186.58179545,23973316.87997802,43944390.68946598,33497937.14595745,41435295.00483834
30,"{'L': 19.7, 'H': 4096}",50050704.86301267,14075145.144663624,31816338.57942131,32732693.183685083,23454318.51146684
30,"{'L': 15.3, 'H': 32768}",49874635.13572692,10226489.026333328,25779237.04217584,32417351.08049757,16656063.386689665
30,"{'L': 13.0, 'H': 262144}",48002352.94408014,6745662.02155059,16146955.177585619,30672829.670280457,11128263.465305448
