arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
20,13.0,262144,340349183.4047735
20,15.3,32768,327038109.64114153
20,19.7,4096,327041231.73907393
20,32.3,512,326872456.1511486
20,90.0,18,325545789.88679755
20,90.0,27,325548279.5590656
20,90.0,36,325935260.1235522
20,300.0,150,41380716.25134319
20,1500.0,600,216728585.5699981
20,8000.0,3000,1165260748.775238
22,13.0,262144,335327647.7918039
22,15.3,32768,318606744.5607624
22,19.7,4096,315275199.96100664
22,32.3,512,315662598.9703307
22,90.0,18,316236299.09459865
22,90.0,27,316405505.1980331
22,90.0,36,316336987.29197776
22,300.0,150,40922328.7793094
22,1500.0,600,216169973.7295013
22,8000.0,3000,1167282656.9652996
24,13.0,262144,314726308.4785136
24,15.3,32768,307523527.76282054
24,19.7,4096,309176869.23319995
24,32.3,512,307230202.37220395
24,90.0,18,307362822.91304743
24,90.0,27,307708945.81406426
24,90.0,36,307015130.9088451
24,300.0,150,40769635.080403104
24,1500.0,600,215615474.30599222
24,8000.0,3000,1163681587.092404
26,13.0,262144,296164895.35183805
26,15.3,32768,295440530.0157738
26,19.7,4096,297107360.2034445
26,32.3,512,298754117.2055695
26,90.0,18,297333890.99677134
26,90.0,27,297121802.6946237
26,90.0,36,298381126.0170005
26,300.0,150,40343204.0614125
26,1500.0,600,216034807.37779012
26,8000.0,3000,1165330833.556991
28,13.0,262144,296479876.1970248
28,15.3,32768,292294453.3128428
28,19.7,4096,287204699.8493784
28,32.3,512,289609479.09755266
28,90.0,18,288881306.4233197
28,90.0,27,288398885.21892637
28,90.0,36,289054018.9313146
28,300.0,150,40304782.212080196
28,1500.0,600,217273557.37276474
28,8000.0,3000,1164998676.6946619
30,13.0,262144,284935608.1257798
30,15.3,32768,279288160.2130055
30,19.7,4096,278351084.7525085
30,32.3,512,280650702.806093
30,90.0,18,279362267.3783987
30,90.0,27,279152787.0671051
30,90.0,36,279791750.8829418
30,300.0,150,39779161.4140989
30,1500.0,600,215413048.4376561
30,8000.0,3000,1165437448.9557896
32,13.0,262144,275226917.59550637
32,15.3,32768,266160675.88087702
32,19.7,4096,270870788.2584381
32,32.3,512,269698330.9604144
32,90.0,18,270222817.1280702
32,90.0,27,270468541.96500146
32,90.0,36,270754147.437345
32,300.0,150,39459159.8326618
32,1500.0,600,215317310.1421195
32,8000.0,3000,1167307681.8763754
34,13.0,262144,261534823.16770297
34,15.3,32768,266629196.9952004
34,19.7,4096,256322603.6405313
34,32.3,512,261935156.9960754
34,90.0,18,261367105.0780956
34,90.0,27,260952834.12470922
34,90.0,36,261365294.92494804
34,300.0,150,39426009.4383469
34,1500.0,600,214187030.5983542
34,8000.0,3000,1165028647.4239278
36,13.0,262144,253260088.38801378
36,15.3,32768,253102402.97869053
36,19.7,4096,250648967.50830007
36,32.3,512,252964969.2413558
36,90.0,18,251554002.4007675
36,90.0,27,251391445.8963584
36,90.0,36,252311895.8167247
36,300.0,150,38845353.10832159
36,1500.0,600,214099939.59786758
36,8000.0,3000,1159814636.577377
38,13.0,262144,240765566.45619816
38,15.3,32768,239929718.4254846
38,19.7,4096,240289239.3035739
38,32.3,512,241545400.21782804
38,90.0,18,241990604.29852027
38,90.0,27,242616579.4418691
38,90.0,36,243394871.93433362
38,300.0,150,38784421.0879234
38,1500.0,600,214586007.9171444
38,8000.0,3000,1163319453.4926736
40,13.0,262144,233147954.99129683
40,15.3,32768,231801825.54624182
40,19.7,4096,232575188.35602713
40,32.3,512,233904036.74663335
40,90.0,18,232891402.28549892
40,90.0,27,233447609.89922523
40,90.0,36,233620718.9696601
40,300.0,150,38485643.42469381
40,1500.0,600,214152018.2142589
40,8000.0,3000,1161062837.4799068
