frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
2,41536503.4330301,1613249.7
4,54899943.859774806,2020507.5
8,41096472.297797,1724460.1
16,57383556.7463577,1953221.0
32,56514336.1085608,2107940.4
64,53786785.8503266,2055519.1
128,40957254.4095123,1712174.1
256,35744469.706687495,1611965.4
512,84733523.8995708,2785570.9
1024,60404040.1596534,2201818.0
2048,66482030.7281843,2260471.1
4096,57221180.5291664,2016195.3
8192,64018511.397304,2304871.3
16384,41861042.80667271,1752105.6
32768,64620768.768439606,2222622.7
65536,72854825.9891811,1953818.8
