arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
20,8.5,262144,182677792.66332832
20,9.8,32768,182430058.14142323
20,12.4,4096,188385248.154248
20,18.9,512,186456009.2490085
20,56.3,64,186990371.82328823
20,60.0,12,186917894.03911084
20,60.0,18,186977226.15499347
20,60.0,24,186897004.39141244
20,100.0,50,11804723.1055408
20,500.0,200,70198572.89121702
20,2000.0,800,290731628.492266
22,8.5,262144,186864763.3546922
22,9.8,32768,173818871.2367645
22,12.4,4096,178781362.6044575
22,18.9,512,177842836.6855027
22,56.3,64,177599552.5482604
22,60.0,12,178011131.3279007
22,60.0,18,177715839.8016301
22,60.0,24,178060240.0885552
22,100.0,50,11483150.571829401
22,500.0,200,70060871.06628892
22,2000.0,800,289359413.3125541
24,8.5,262144,156030911.59773523
24,9.8,32768,168599512.73400754
24,12.4,4096,166607601.3824618
24,18.9,512,168981067.4670987
24,56.3,64,168281886.7659342
24,60.0,12,168084158.68669263
24,60.0,18,168396613.46793348
24,60.0,24,168786653.3244672
24,100.0,50,11294729.514628801
24,500.0,200,69681472.6573492
24,2000.0,800,288923392.15156025
26,8.5,262144,152589957.0784641
26,9.8,32768,155727872.130146
26,12.4,4096,157880617.95242304
26,18.9,512,159629292.3808758
26,56.3,64,159346009.3792745
26,60.0,12,159149495.2433704
26,60.0,18,159215186.35978383
26,60.0,24,159424819.64568868
26,100.0,50,10993194.478218898
26,500.0,200,69269008.0583966
26,2000.0,800,288406655.0081507
28,8.5,262144,155756537.76492438
28,9.8,32768,148591144.00719517
28,12.4,4096,152326159.2557853
28,18.9,512,149806058.2767975
28,56.3,64,150103233.58841652
28,60.0,12,150100242.68185347
28,60.0,18,150036808.0857953
28,60.0,24,150637613.71945864
28,100.0,50,10697764.5667085
28,500.0,200,69251624.2779621
28,2000.0,800,288906961.8810221
30,8.5,262144,136810035.8252893
30,9.8,32768,136359795.8281311
30,12.4,4096,142217435.04431212
30,18.9,512,140717705.32379308
30,56.3,64,140732781.2480813
30,60.0,12,140469667.14025208
30,60.0,18,141338852.9389745
30,60.0,24,141136142.2604838
30,100.0,50,10442655.4391036
30,500.0,200,69127461.0777137
30,2000.0,800,287207444.561306
32,8.5,262144,142055980.5412602
32,9.8,32768,127352154.74877909
32,12.4,4096,131829305.21757472
32,18.9,512,131283831.19057791
32,56.3,64,131389691.38900289
32,60.0,12,132093056.3976094
32,60.0,18,131304918.53343129
32,60.0,24,132270928.64410591
32,100.0,50,10154415.2509703
32,500.0,200,68664678.1968569
32,2000.0,800,289040360.07103926
34,8.5,262144,121298792.94284269
34,9.8,32768,123254615.14251032
34,12.4,4096,123610459.8168284
34,18.9,512,121524510.4210558
34,56.3,64,122311875.73334363
34,60.0,12,122496743.29832701
34,60.0,18,122086764.4134975
34,60.0,24,122762916.31784292
34,100.0,50,9800789.800672099
34,500.0,200,68266847.3864977
34,2000.0,800,288091329.7749699
36,8.5,262144,108323404.71733908
36,9.8,32768,110270325.2875845
36,12.4,4096,115714740.98200122
36,18.9,512,112665996.1351926
36,56.3,64,112691505.6550959
36,60.0,12,112917722.0080816
36,60.0,18,112694264.28215249
36,60.0,24,113800898.22470279
36,100.0,50,9488867.694306899
36,500.0,200,67945498.20872879
36,2000.0,800,287752449.6788136
38,8.5,262144,110928868.6001411
38,9.8,32768,105371550.91116339
38,12.4,4096,104190801.6731681
38,18.9,512,102398802.0573353
38,56.3,64,103418140.1883349
38,60.0,12,103668472.1440541
38,60.0,18,103276449.76351169
38,60.0,24,104017987.8477067
38,100.0,50,9339534.566157099
38,500.0,200,67748287.4593491
38,2000.0,800,288165313.08399475
40,8.5,262144,96664469.1703921
40,9.8,32768,92692166.6530264
40,12.4,4096,95304075.43763469
40,18.9,512,94727443.89598118
40,56.3,64,93756687.30655381
40,60.0,12,94742460.05301659
40,60.0,18,94923087.9517359
40,60.0,24,94687495.5172691
40,100.0,50,8919353.9869887
40,500.0,200,67383325.0624765
40,2000.0,800,286038229.06215554
