arrival_rate,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio
20,0.6120445820806845,1.9681568356022037,0.8983180858846428,0.9334633711920145,1.1869671941290407,1.9681568356022037
22,0.2622596331310425,2.2230803776498145,0.739302328708973,0.31454983642564627,1.361925575945442,2.223080377649815
24,0.5428879374776748,2.0540350013733795,0.9596106388512531,0.917569304848437,1.2164860265753676,2.05403500137338
26,0.4778902212591666,1.7798219446447414,0.7843260630310431,0.9770542871765365,1.0501199547402447,1.7798219446447412
28,0.5129025887933357,2.386397062200844,1.1457379451414027,1.0367694364804088,1.4087744698323275,2.386397062200844
30,0.3228270126052417,1.981108779578358,0.8068936986455554,0.4859900831862581,1.1876617613343083,1.9811087795783577
32,0.3823391867710121,2.20643262032086,0.878731958482967,0.8011640029776563,1.2785517400056985,2.2064326203208595
34,0.42513509990939186,2.230102734569814,1.1378899207104045,1.0815243548937867,1.29302501825364,2.2301027345698134
36,0.39911797883587247,2.653276543733514,1.493766253187993,1.0723731458763779,1.6712126293207745,2.653276543733514
38,0.3184653894997989,2.421607896447095,1.1970837677167823,1.0282679481736694,1.411675188201897,2.421607896447095
40,0.3139838097303898,2.727384642420938,1.3695307885847394,1.0551824204191336,1.5370394509859961,2.727384642420938
