L,H,bp_parms,arrival_rate,arithmetic,value
16.772,64.0,L16.772/H64,20,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9981669897291052
7.918,512.0,L7.918/H512,20,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9938780684908984
5.649,4096.0,L5.649/H4096,20,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.6814865192791751
4.639,32768.0,L4.639/H32768,20,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.4336557120181389
4.073,262144.0,L4.073/H262144,20,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.4678753193352458
16.772,64.0,L16.772/H64,22,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9978469908982518
7.918,512.0,L7.918/H512,22,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9816090415729536
5.649,4096.0,L5.649/H4096,22,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.6895671743106387
4.639,32768.0,L4.639/H32768,22,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.45992808301266
4.073,262144.0,L4.073/H262144,22,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2287170470417993
16.772,64.0,L16.772/H64,24,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9979220416386788
7.918,512.0,L7.918/H512,24,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9730147576283656
5.649,4096.0,L5.649/H4096,24,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.7375897194533609
4.639,32768.0,L4.639/H32768,24,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.4111095030323651
4.073,262144.0,L4.073/H262144,24,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2223525441983563
16.772,64.0,L16.772/H64,26,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.99817120925347
7.918,512.0,L7.918/H512,26,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.3971176434172146
5.649,4096.0,L5.649/H4096,26,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.8946900943208891
4.639,32768.0,L4.639/H32768,26,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.3827114300889341
4.073,262144.0,L4.073/H262144,26,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2357277134633149
16.772,64.0,L16.772/H64,28,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9986372951633012
7.918,512.0,L7.918/H512,28,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,2.416768416575601
5.649,4096.0,L5.649/H4096,28,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.906858490730804
4.639,32768.0,L4.639/H32768,28,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2821803142319103
4.073,262144.0,L4.073/H262144,28,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.0993825834201401
16.772,64.0,L16.772/H64,30,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.9632996917125578
7.918,512.0,L7.918/H512,30,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.5736373373098824
5.649,4096.0,L5.649/H4096,30,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.6917871032170179
4.639,32768.0,L4.639/H32768,30,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2472054222435401
4.073,262144.0,L4.073/H262144,30,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.3276483953996154
16.772,64.0,L16.772/H64,32,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.8408947247923538
7.918,512.0,L7.918/H512,32,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.330099466480968
5.649,4096.0,L5.649/H4096,32,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.7169126292599729
4.639,32768.0,L4.639/H32768,32,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2301991941235045
4.073,262144.0,L4.073/H262144,32,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.1424912742458121
16.772,64.0,L16.772/H64,34,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.7993894488003132
7.918,512.0,L7.918/H512,34,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.1944407477910095
5.649,4096.0,L5.649/H4096,34,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.5726521843994696
4.639,32768.0,L4.639/H32768,34,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.1960779531017164
4.073,262144.0,L4.073/H262144,34,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.0816876371434991
16.772,64.0,L16.772/H64,36,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.7850800122303037
7.918,512.0,L7.918/H512,36,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.1955979073843783
5.649,4096.0,L5.649/H4096,36,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.5788655686134057
4.639,32768.0,L4.639/H32768,36,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2194400657428514
4.073,262144.0,L4.073/H262144,36,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.1180312245169188
16.772,64.0,L16.772/H64,38,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.8084734344302681
7.918,512.0,L7.918/H512,38,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.1217857211393802
5.649,4096.0,L5.649/H4096,38,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.5274962515744213
4.639,32768.0,L4.639/H32768,38,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2378297024351071
4.073,262144.0,L4.073/H262144,38,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.0867863556479697
16.772,64.0,L16.772/H64,40,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.8465813879160067
7.918,512.0,L7.918/H512,40,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,1.1111031655424333
5.649,4096.0,L5.649/H4096,40,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.5999409565197094
4.639,32768.0,L4.639/H32768,40,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.2238853390872327
4.073,262144.0,L4.073/H262144,40,Rmlfq_L2_Norm/Rmlfq_Dy_L2_norm,0.1122255558696716
