arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20,4.073,262144,4925043.0839813
20,4.639,32768,7873157.740847501
20,5.649,4096,14360000.9986063
20,7.918,512,28293483.6311621
20,16.772,64,58713794.51335599
22,4.073,262144,3051732.461335
22,4.639,32768,5616674.7101954995
22,5.649,4096,11331338.6611315
22,7.918,512,23957781.702924006
22,16.772,64,52124752.6515377
24,4.073,262144,2180499.2999662003
24,4.639,32768,4073110.5190124
24,5.649,4096,8385348.567414001
24,7.918,512,19574768.052579302
24,16.772,64,44844409.2126379
26,4.073,262144,1618081.8960167998
26,4.639,32768,2542996.4008628
26,5.649,4096,5965974.5014242
26,7.918,512,15313008.084777901
26,16.772,64,36778955.859595396
28,4.073,262144,1023840.8668175999
28,4.639,32768,1917844.767358
28,5.649,4096,4173777.4776544995
28,7.918,512,9952110.8048652
28,16.772,64,27676367.3168207
30,4.073,262144,617018.2385951
30,4.639,32768,956183.7534658
30,5.649,4096,1856968.1736670001
30,7.918,512,3586031.4491402
30,16.772,64,10287053.4431514
32,4.073,262144,665959.9358787
32,4.639,32768,487725.1357671999
32,5.649,4096,524588.1434249
32,7.918,512,336713.23578890006
32,16.772,64,291247.74075229996
34,4.073,262144,593542.0814292
34,4.639,32768,550825.3157617
34,5.649,4096,197540.8423962
34,7.918,512,113397.6472818
34,16.772,64,83875.9490309
36,4.073,262144,518563.8861373
36,4.639,32768,255484.8286964
36,5.649,4096,133722.1716785
36,7.918,512,66960.38723690002
36,16.772,64,49117.397127899996
38,4.073,262144,301444.1849406
38,4.639,32768,242130.4457823
38,5.649,4096,106908.20875970002
38,7.918,512,53263.0112811
38,16.772,64,33667.8338324
40,4.073,262144,192045.64157479999
40,4.639,32768,177280.02093359997
40,5.649,4096,90241.39782770001
40,7.918,512,42477.9777665
40,16.772,64,27227.501108900004
