frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,53501045.891256,1390773.0
4,170243194.49017173,2489385.3
8,106197348.25843391,1835813.6
16,107260805.1243737,1869679.5
32,132114337.22956422,2144772.3
64,121604932.3163904,2084751.4
128,136532614.2275548,2222740.7
256,109231566.28105691,1971306.8
512,84487228.7142075,1674469.7
1024,108388503.33873232,2008862.7
2048,103666643.6745872,1974409.6
4096,135091176.5053688,2201476.1
8192,213221684.7147529,3051578.5
16384,150180866.03668708,2395231.2
32768,136830270.96148878,1930031.5
65536,252371668.13067022,2419980.5
