arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20,4.073,262144,7193334.055435499
20,4.639,32768,11696823.827647697
20,5.649,4096,21271442.8908665
20,7.918,512,42107479.6806311
20,16.772,64,79442527.37177119
20,30.0,6,85993652.1000167
20,30.0,9,83243944.0873415
20,30.0,12,80778669.02121949
20,50.0,25,6745353.3621352
20,250.0,100,48451880.942428894
20,1000.0,400,200558862.201156
22,4.073,262144,4639680.312062601
22,4.639,32768,8676757.3998516
22,5.649,4096,16635503.6543836
22,7.918,512,35035736.6251023
22,16.772,64,65696794.63348
22,30.0,6,70966200.7890713
22,30.0,9,69043292.6332532
22,30.0,12,66748192.7546068
22,50.0,25,6354760.538196899
22,250.0,100,47822541.2125176
22,1000.0,400,201760576.8819554
24,4.073,262144,3384399.9740526997
24,4.639,32768,6167238.7240564
24,5.649,4096,12286820.566813398
24,7.918,512,27170703.8763735
24,16.772,64,50814095.5457615
24,30.0,6,55337315.492789306
24,30.0,9,53129053.4226776
24,30.0,12,51921477.457374796
24,50.0,25,5992323.5176561
24,250.0,100,47874070.6716758
24,1000.0,400,200742220.79831228
26,4.073,262144,1944043.0342940004
26,4.639,32768,4180120.475132299
26,5.649,4096,8630035.838586599
26,7.918,512,19321607.2759429
26,16.772,64,36084499.7836137
26,30.0,6,38111730.2206555
26,30.0,9,36954171.0271282
26,30.0,12,36499244.2514701
26,50.0,25,5658996.656976299
26,250.0,100,47447014.727289796
26,1000.0,400,200836003.4478733
28,4.073,262144,1432645.6583510998
28,4.639,32768,2279121.4238991
28,5.649,4096,5450984.790807599
28,7.918,512,11657801.3936725
28,16.772,64,20130391.2779869
28,30.0,6,20860475.6512302
28,30.0,9,20846286.647887897
28,30.0,12,20355864.862426396
28,50.0,25,5251869.038496399
28,250.0,100,47253993.3922252
28,1000.0,400,199794971.1422097
30,4.073,262144,1202910.7480115
30,4.639,32768,1714950.1114111997
30,5.649,4096,1698004.0311726
30,7.918,512,2892506.9862479
30,16.772,64,4616987.84722
30,30.0,6,5039508.6420319
30,30.0,9,4732973.5686974
30,30.0,12,4920139.632426399
30,50.0,25,4819971.5036697
30,250.0,100,47084699.7775736
30,1000.0,400,199163212.9973135
32,4.073,262144,838690.7980993999
32,4.639,32768,810223.2278793
32,5.649,4096,556769.0212353
32,7.918,512,376249.34726009995
32,16.772,64,167014.3412265
32,30.0,6,162846.2014185
32,30.0,9,177171.9333417
32,30.0,12,192768.51869589998
32,50.0,25,4416061.746359
32,250.0,100,46556561.2002934
32,1000.0,400,199416704.8516283
34,4.073,262144,557041.0524171
34,4.639,32768,559243.9757069
34,5.649,4096,294305.50554569997
34,7.918,512,151348.8841575
34,16.772,64,83279.1435071
34,30.0,6,77161.12139849999
34,30.0,9,83531.53127489999
34,30.0,12,85165.18958949999
34,50.0,25,4014799.0818193005
34,250.0,100,46353034.1580668
34,1000.0,400,199091121.04525608
36,4.073,262144,443147.4987485
36,4.639,32768,379425.34759839997
36,5.649,4096,194218.3076924
36,7.918,512,97181.3757894
36,16.772,64,54873.1309807
36,30.0,6,53450.62496100001
36,30.0,9,54659.308988599994
36,30.0,12,56325.1580213
36,50.0,25,3603829.8213049
36,250.0,100,46007940.8386892
36,1000.0,400,198449171.3514663
38,4.073,262144,462499.81457290007
38,4.639,32768,363165.1957014
38,5.649,4096,139907.1704616
38,7.918,512,69584.3032563
38,16.772,64,42233.1304674
38,30.0,6,39819.278290300004
38,30.0,9,40975.78985089999
38,30.0,12,41460.3277832
38,50.0,25,3113203.4901412004
38,250.0,100,45743165.0851487
38,1000.0,400,199639051.2801881
40,4.073,262144,456383.63181019993
40,4.639,32768,214128.9433162
40,5.649,4096,111107.39547740002
40,7.918,512,59533.4347707
40,16.772,64,34728.194862899996
40,30.0,6,32648.533743
40,30.0,9,32869.3187962
40,30.0,12,35039.3936693
40,50.0,25,2767197.776517
40,250.0,100,45350021.0434684
40,1000.0,400,198559585.5674943
