arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
20,4.073,262144,4744283.0735191
20,4.639,32768,7705950.5201550005
20,5.649,4096,12968513.1790765
20,7.918,512,25550520.5569115
20,16.772,64,55033399.932028994
20,30.0,6,63253951.64631549
20,30.0,9,60152868.5624218
20,30.0,12,57336028.6165246
20,50.0,25,4110794.9508479997
20,250.0,100,28927276.812864196
20,1000.0,400,120694635.89228383
22,4.073,262144,3064022.3525636
22,4.639,32768,5738430.757218599
22,5.649,4096,10659045.0854535
22,7.918,512,20884718.6176688
22,16.772,64,47660635.8236163
22,30.0,6,55149178.3001456
22,30.0,9,52458331.69866411
22,30.0,12,49703570.59906809
22,50.0,25,3900144.7341471002
22,250.0,100,28548904.426591497
22,1000.0,400,121337225.71357591
24,4.073,262144,2278183.395038
24,4.639,32768,4103808.8435327
24,5.649,4096,8253218.072755501
24,7.918,512,15864528.724390602
24,16.772,64,38708012.1380889
24,30.0,6,46216657.8387892
24,30.0,9,42861481.7081177
24,30.0,12,40682339.1234709
24,50.0,25,3703585.6983973994
24,250.0,100,28544846.215332996
24,1000.0,400,120701877.7603612
26,4.073,262144,1345639.4889641998
26,4.639,32768,2739815.4464477
26,5.649,4096,5899300.4096602
26,7.918,512,11312860.980909398
26,16.772,64,28692981.269442
26,30.0,6,33692931.6042841
26,30.0,9,31607230.5822478
26,30.0,12,29959572.3677829
26,50.0,25,3524328.2671854
26,250.0,100,28278831.802016504
26,1000.0,400,120704158.95609021
28,4.073,262144,1017857.8582645
28,4.639,32768,1521243.0707490998
28,5.649,4096,3912448.3728326997
28,7.918,512,7971718.572822499
28,16.772,64,15103372.503787797
28,30.0,6,17880328.836015202
28,30.0,9,16931826.8502202
28,30.0,12,15716798.1855369
28,50.0,25,3306638.5235002
28,250.0,100,28144736.684854697
28,1000.0,400,120040424.7733229
30,4.073,262144,874602.3464316999
30,4.639,32768,1175702.5503556998
30,5.649,4096,1427169.1115632
30,7.918,512,3232525.61127
30,16.772,64,3802898.184838301
30,30.0,6,3848198.1907234006
30,30.0,9,3850455.1451292997
30,30.0,12,3932668.6947311996
30,50.0,25,3063094.8977497006
30,250.0,100,28029393.250883095
30,1000.0,400,119634509.84471378
32,4.073,262144,652844.2489229001
32,4.639,32768,566375.288017
32,5.649,4096,424537.21543920005
32,7.918,512,373779.4075967
32,16.772,64,209553.38308230002
32,30.0,6,247454.99699190003
32,30.0,9,265732.8061913
32,30.0,12,275165.27504919993
32,50.0,25,2831990.8607804
32,250.0,100,27709472.977088302
32,1000.0,400,119732874.76876822
34,4.073,262144,433711.01853550004
34,4.639,32768,406135.8503762
34,5.649,4096,216930.04430279997
34,7.918,512,116845.2440324
34,16.772,64,84191.20470490001
34,30.0,6,84713.33831290001
34,30.0,9,89954.8330074
34,30.0,12,89521.7665948
34,50.0,25,2584969.3578574997
34,250.0,100,27580178.4949589
34,1000.0,400,119540711.4490687
36,4.073,262144,386578.1136776
36,4.639,32768,288324.9981642
36,5.649,4096,141426.1881965
36,7.918,512,72286.76455549999
36,16.772,64,47671.2794034
36,30.0,6,50622.698176399994
36,30.0,9,50451.83734020001
36,30.0,12,50736.3985245
36,50.0,25,2340251.2069154
36,250.0,100,27366816.5241565
36,1000.0,400,119085602.8430851
38,4.073,262144,378384.02578890003
38,4.639,32768,280027.17209340003
38,5.649,4096,106143.5180818
38,7.918,512,50946.2706528
38,16.772,64,34438.68574660001
38,30.0,6,34708.8968684
38,30.0,9,34831.0433138
38,30.0,12,34235.064348500004
38,50.0,25,2020991.2272972
38,250.0,100,27201357.8591446
38,1000.0,400,119754408.8914471
40,4.073,262144,377819.6560074
40,4.639,32768,176070.8228718
40,5.649,4096,85385.9080524
40,7.918,512,43485.09770209999
40,16.772,64,26983.675615099997
40,30.0,6,26686.821319500003
40,30.0,9,26345.0761717
40,30.0,12,27944.242244200002
40,50.0,25,1783554.9507294
40,250.0,100,26964091.868859798
40,1000.0,400,119070316.91442779
