arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time
20,13.0,262144,80889843.0630297
20,15.3,32768,102342144.7923373
20,19.7,4096,141902474.9196501
20,32.3,512,222330349.43067288
20,90.0,18,319389718.4046582
20,90.0,27,304856004.9368447
20,90.0,36,291171741.7682672
20,300.0,150,33913497.4173043
20,1500.0,600,182933318.524768
20,8000.0,3000,991453143.0749543
22,13.0,262144,76200568.2004303
22,15.3,32768,97922094.4006636
22,19.7,4096,135906002.8537576
22,32.3,512,215919400.29829302
22,90.0,18,313049370.18764687
22,90.0,27,298796728.8830074
22,90.0,36,285282558.3986221
22,300.0,150,33560904.39535741
22,1500.0,600,182198225.51369068
22,8000.0,3000,993906776.979825
24,13.0,262144,72220540.4089559
24,15.3,32768,93461213.10120021
24,19.7,4096,131509278.73493591
24,32.3,512,211181473.5442285
24,90.0,18,307164116.5049604
24,90.0,27,293278949.5884975
24,90.0,36,279298400.6695353
24,300.0,150,33444168.581330102
24,1500.0,600,181622175.8150186
24,8000.0,3000,989961498.3235042
26,13.0,262144,66872174.8966911
26,15.3,32768,88285120.3488416
26,19.7,4096,126168630.9809634
26,32.3,512,206047334.72757018
26,90.0,18,300451538.7656591
26,90.0,27,286139846.0947699
26,90.0,36,274049513.5868224
26,300.0,150,33189499.155039497
26,1500.0,600,182422429.73937592
26,8000.0,3000,991331679.5316346
28,13.0,262144,62402490.909085
28,15.3,32768,83944547.994885
28,19.7,4096,122035488.30023329
28,32.3,512,200699051.46817774
28,90.0,18,294771474.1373657
28,90.0,27,280557852.9136454
28,90.0,36,268228355.2433918
28,300.0,150,33206818.6896173
28,1500.0,600,183651763.93404636
28,8000.0,3000,991031610.1848915
30,13.0,262144,58380800.480780005
30,15.3,32768,79919179.9191132
30,19.7,4096,116737787.12048249
30,32.3,512,195611484.9706477
30,90.0,18,288392918.29916483
30,90.0,27,274525048.68571997
30,90.0,36,262270609.99896693
30,300.0,150,32750471.638219405
30,1500.0,600,181665832.550163
30,8000.0,3000,991306262.7131981
32,13.0,262144,54332749.908382
32,15.3,32768,74977498.74897781
32,19.7,4096,112746823.29031138
32,32.3,512,189125370.02576342
32,90.0,18,282077107.7030892
32,90.0,27,269058184.09790325
32,90.0,36,256660167.72142777
32,300.0,150,32549058.8061916
32,1500.0,600,181736874.98071653
32,8000.0,3000,993914644.3684905
34,13.0,262144,49576727.3139878
34,15.3,32768,70263518.1616362
34,19.7,4096,106648642.92905699
34,32.3,512,184820395.31385142
34,90.0,18,276248387.9268025
34,90.0,27,262723786.7820433
34,90.0,36,250659867.27416912
34,300.0,150,32614543.480747603
34,1500.0,600,180706757.7771466
34,8000.0,3000,990570175.7032881
36,13.0,262144,46362388.4765292
36,15.3,32768,66475486.07612971
36,19.7,4096,102300657.2353713
36,32.3,512,179230405.0149598
36,90.0,18,269299818.5040864
36,90.0,27,256276183.48490125
36,90.0,36,244880688.7536038
36,300.0,150,32180076.8257366
36,1500.0,600,180935541.3955265
36,8000.0,3000,987737964.7494326
38,13.0,262144,42650297.62370379
38,15.3,32768,62341219.84629899
38,19.7,4096,97615500.50654249
38,32.3,512,172861970.0074884
38,90.0,18,263019515.3357452
38,90.0,27,250487567.9350275
38,90.0,36,239429274.0210906
38,300.0,150,32289181.0478688
38,1500.0,600,181548736.42375472
38,8000.0,3000,988686251.8936256
40,13.0,262144,38200185.369357005
40,15.3,32768,58029916.9012418
40,19.7,4096,93523277.43354031
40,32.3,512,168296122.61585897
40,90.0,18,256568232.23187408
40,90.0,27,244464315.12524718
40,90.0,36,232811494.2359565
40,300.0,150,31956081.3920336
40,1500.0,600,180778203.58920842
40,8000.0,3000,987316576.6781578
