frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,840108.759695,174367.000000,91.662424
4,2066701.524315,296636.000000,143.641916
8,1663680.337419,291352.000000,175.279776
16,1865342.158016,293290.000000,1426.295902
32,2712070.952617,300765.000000,2138.251388
64,3607567.191972,301078.000000,80624.635807
128,2192319.513382,300189.000000,1295.443167
256,3392915.154805,299454.000000,410804.535179
512,2093149.898211,304819.000000,161560.572006
1024,3678992.526340,297735.000000,398176.850276
2048,1878152.711787,277421.000000,160291.085398
4096,4192718.009394,298329.000000,271764.576868
8192,1129835.832903,183590.000000,432935.611776
16384,3930674.958704,292377.000000,1498930.676321
32768,4920082.084680,293617.000000,3680717.444974
65536,5190540.376754,300555.000000,4441532.316364
