frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2028015.772018,290076.000000,67.096945
4,2450948.901515,301658.000000,54.644304
8,1728521.312554,282155.000000,133.480336
16,2780284.001307,289856.000000,273394.072807
32,2440117.644598,295362.000000,33486.800549
64,3370077.496158,299869.000000,30493.523870
128,3133241.507532,292403.000000,54647.061751
256,2890623.293799,284100.000000,392057.319008
512,2906445.983720,272337.000000,334948.704764
1024,3514538.780959,297127.000000,335025.079481
2048,1751941.479610,298423.000000,454356.925444
4096,2149838.949676,300748.000000,211083.386881
8192,5395421.210254,289538.000000,2609192.596092
16384,4224238.310510,287184.000000,1982972.079114
32768,4675418.920283,304717.000000,2721837.520915
65536,631399.332628,68512.000000,628727.175717
