frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2040345.395997,300228.000000,55.000000
4,2141327.019786,290689.000000,259.164041
8,1643586.465918,292560.000000,285.003509
16,1637327.021579,244712.000000,32690.945046
32,2917404.992308,277995.000000,225.082207
64,2777559.907616,294660.000000,1040.544088
128,2737851.985782,286138.000000,168424.663850
256,3088109.245989,292555.000000,168137.666146
512,3834090.003547,302148.000000,779307.757640
1024,3040581.511359,284858.000000,469389.898355
2048,3624552.114741,289626.000000,663474.758978
4096,2534498.119823,284192.000000,795181.274125
8192,3921081.394800,300755.000000,832512.855578
16384,1773018.119524,272173.000000,722061.523947
32768,4341369.068159,277004.000000,2221068.681391
65536,3826919.699275,249398.000000,2103242.843344
