frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1350944.600530,262055.000000,81.859636
4,2014855.724757,298762.000000,757.914243
8,1882569.556510,291825.000000,136.301137
16,2154572.529006,284030.000000,115948.778609
32,2617953.912967,283085.000000,12986.341671
64,2424837.852926,298525.000000,10186.154819
128,2283418.611493,285635.000000,11490.280893
256,2736583.825108,298395.000000,183105.791642
512,2690639.349722,299132.000000,25844.265399
1024,2347573.420331,296887.000000,228210.046135
2048,2847348.952442,300568.000000,829657.048580
4096,3199423.329404,303854.000000,785931.736654
8192,2710620.688336,282565.000000,1220217.768610
16384,2455796.302857,254093.000000,975629.944409
32768,3250397.381467,265907.000000,1183622.636839
65536,3514853.670909,255227.000000,3423644.355154
