frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1829421.601594,279729.000000,36.000000
4,1702064.525082,298475.000000,380.224933
8,1866433.731959,293473.000000,16992.747129
16,1793759.852253,267586.000000,932.141620
32,1874231.035690,263004.000000,1178.079369
64,2407206.328395,277994.000000,29713.381413
128,3296458.633869,292867.000000,240092.964828
256,3482680.242802,299259.000000,195079.304589
512,2530836.366240,288873.000000,167196.878374
1024,3233550.774643,299279.000000,220646.483978
2048,2890248.304034,277055.000000,492091.112480
4096,3107850.337720,238738.000000,265603.022534
8192,2596156.492383,293737.000000,526998.807533
16384,1452633.064193,155772.000000,307586.704553
32768,3127422.457774,296708.000000,904047.469855
65536,1624872.251657,203087.000000,1466683.352852
