frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,904297.933419,244459.000000,91.000000
4,326188.339684,102787.000000,94.704805
8,2166208.128480,292941.000000,84.118963
16,2415508.037277,298347.000000,135.937486
32,2234791.943015,297023.000000,156.674822
64,2979761.835861,287272.000000,279276.562926
128,3352933.872761,296215.000000,177056.782118
256,3478983.489582,295519.000000,6752.841994
512,3308441.397039,295779.000000,200949.789510
1024,3066133.598143,285911.000000,27000.307813
2048,2917162.456127,294821.000000,643694.408424
4096,1154526.674299,261384.000000,116520.394125
8192,1517782.454802,234437.000000,664161.307510
16384,1903698.743800,274205.000000,974336.675149
32768,5837733.363521,299238.000000,4057978.311511
65536,170989.364897,37244.000000,113529.862305
