frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1087623.537911,217172.000000,332.483082
4,1382821.831859,261760.000000,6668.012897
8,1155872.573774,290173.000000,149.953326
16,1841097.307701,302339.000000,9892.500341
32,1710962.585077,291913.000000,4450.094044
64,1943055.280343,279670.000000,10115.622818
128,1727389.268454,272195.000000,29647.681545
256,2049142.975822,292346.000000,154294.588790
512,2509925.744760,297178.000000,395514.412415
1024,2255220.872129,277202.000000,8199.145443
2048,3119517.179160,298034.000000,588907.542895
4096,3204069.767371,300813.000000,871998.327028
8192,1470118.305795,175137.000000,782770.563939
16384,2847681.392119,300145.000000,1544664.559496
32768,4252747.028137,303666.000000,3206515.225102
65536,2997383.560163,238718.000000,1386748.780538
