frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2028880.695541,289347.000000,704.699936
4,1527042.161662,250050.000000,8661.418533
8,2632243.446178,297687.000000,8733.726810
16,1525919.397781,282682.000000,573.068931
32,1777441.691936,269505.000000,260043.759275
64,2854880.004910,292075.000000,115935.176582
128,2819800.437325,304631.000000,1836.227927
256,2946164.979955,286379.000000,325262.867998
512,2912820.269496,297268.000000,96647.051197
1024,3076166.741371,301887.000000,911914.232203
2048,2820381.808228,260252.000000,407774.796798
4096,2466916.102904,292757.000000,577175.414340
8192,2797945.217571,290294.000000,1456433.637799
16384,1895861.114827,192399.000000,1137779.629124
32768,594488.917830,102621.000000,0.000000
65536,3306686.152031,238416.000000,2453431.991123
