frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1754910.298072,297425.000000,701.920936
4,1016681.308007,198528.000000,102.615788
8,2126378.116849,287904.000000,224.127196
16,2331713.530340,300337.000000,166.652333
32,2415048.922062,292184.000000,118832.741700
64,2397183.489712,290556.000000,43623.158643
128,2861710.823005,301270.000000,2637.362319
256,3158403.757627,287275.000000,216414.210183
512,1995954.698789,278328.000000,160699.182232
1024,3015831.521045,298014.000000,91892.219023
2048,2136206.478470,291137.000000,504235.385761
4096,3195220.552467,301388.000000,190487.666900
8192,2712994.086721,260942.000000,1010499.843079
16384,2692964.004383,301706.000000,455857.206262
32768,4308406.386938,274559.000000,3314889.250536
65536,1637389.288109,170205.000000,0.000000
