frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1259878.691563,262267.000000,322.052791
4,1316985.588100,285227.000000,167.000000
8,462434.566002,99602.000000,364.698506
16,1875424.644677,287688.000000,122.147452
32,2009896.063499,293115.000000,81224.699562
64,2357613.462296,262233.000000,343.747000
128,2396727.067651,293820.000000,1995.852199
256,2645701.650978,285086.000000,179235.733658
512,2543387.843959,289154.000000,309313.212147
1024,2781764.507405,293803.000000,515082.418197
2048,2465713.351610,299797.000000,404479.633627
4096,3227963.793810,290386.000000,1139934.766655
8192,3615303.454252,273429.000000,727498.417499
16384,2297911.385452,247824.000000,461273.410461
32768,2944598.289338,258148.000000,1136688.996707
65536,3140269.995018,235979.000000,2864418.632101
