frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1445225.373801,250931.000000,75.690158
4,1568661.593856,272753.000000,190.945018
8,2079055.069041,282220.000000,45712.946514
16,1847898.867786,295449.000000,11343.631650
32,2568316.224191,284016.000000,639.850764
64,3139116.237485,303438.000000,303443.590521
128,2548921.028181,297035.000000,269711.928140
256,3130554.052564,302550.000000,279375.481005
512,2537751.214151,291068.000000,144219.174485
1024,2960323.433454,277947.000000,133867.248302
2048,3073518.767663,302425.000000,282824.564851
4096,3433733.953467,291964.000000,758630.560749
8192,2145826.538898,247663.000000,157638.546720
16384,3657251.411266,270313.000000,2287352.219077
32768,4997413.968983,303717.000000,1315715.305676
65536,2133052.846335,182118.000000,1821615.808291
