frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1545164.547780,275835.000000,75.000000
4,1862610.504841,294850.000000,280.135681
8,1643743.799606,273394.000000,109109.580253
16,1986366.380264,286155.000000,151660.175514
32,922733.465219,140209.000000,270.283185
64,2347990.593396,296338.000000,91424.480403
128,2780616.738869,300372.000000,211079.951931
256,2341293.401004,293983.000000,16080.172169
512,2936170.255421,302609.000000,788543.169149
1024,3245126.561515,300703.000000,344831.076755
2048,2404915.229470,291902.000000,502404.165484
4096,3073197.874052,281348.000000,1122442.150589
8192,2856994.336596,255968.000000,275174.071240
16384,2492178.525246,226824.000000,1710930.337019
32768,3778100.285267,286086.000000,2612832.543482
65536,3053617.451680,244064.000000,1282012.430407
