frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1305112.418619,227090.000000,89.403579
4,1895544.594920,302943.000000,60714.747475
8,1611031.798890,304098.000000,145.481958
16,2164923.849812,292884.000000,24197.641538
32,2690448.311785,296440.000000,264331.148371
64,2583867.775868,283893.000000,65219.814581
128,2517151.583739,246826.000000,231890.595510
256,2353624.680404,297823.000000,84238.883255
512,3378705.854692,296658.000000,126712.300796
1024,3192903.424354,296226.000000,264569.762352
2048,4113251.703632,299611.000000,767721.609049
4096,1085704.583042,265695.000000,201727.837868
8192,1558423.467994,250243.000000,143567.325043
16384,3370738.586825,300037.000000,1515405.261519
32768,855265.039056,118249.000000,124754.779407
65536,1579612.977134,182395.000000,0.000000
