frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1982939.004934,299659.000000,127.933577
4,1827264.364106,303352.000000,133.304163
8,2147915.049701,298650.000000,132.431114
16,1768210.827315,290544.000000,142.355190
32,2880061.873269,303377.000000,1130.711723
64,2374321.914297,276981.000000,3907.449552
128,2429924.272464,297092.000000,243930.957851
256,3417742.388768,296465.000000,362601.811813
512,3168067.897014,297905.000000,470687.525445
1024,3108260.258948,294351.000000,180984.608221
2048,2968803.923764,279253.000000,342746.585967
4096,3214991.854360,304331.000000,1084381.312047
8192,3707062.789263,305280.000000,1237060.280209
16384,2107593.115210,154480.000000,1758149.899200
32768,508309.441528,68281.000000,255427.158080
65536,2475366.104906,256978.000000,0.000000
