frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1066971.657353,176387.000000,171.292148
4,1125334.464793,224593.000000,164698.183776
8,2150905.141919,290412.000000,4441.788941
16,2376215.728123,288304.000000,220.218074
32,1834942.190130,239697.000000,414.016908
64,746651.342606,189475.000000,591.660376
128,2313448.492900,270103.000000,2314.022040
256,2966876.931816,299277.000000,447166.671805
512,2573461.622576,294831.000000,229587.329583
1024,2230536.966038,300748.000000,295817.675527
2048,2341325.851733,261179.000000,179513.526050
4096,3061143.276886,305863.000000,774802.553943
8192,729543.302833,157974.000000,30056.161182
16384,2012411.705215,241036.000000,822228.527331
32768,949149.775707,103774.000000,759324.585825
65536,4687718.618435,234614.000000,3559542.962542
