frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,502616.153378,8591.000000,1576.282970
4,844054.153477,17468.000000,3214.000000
8,536276.137804,8367.000000,4401.000000
16,639425.156725,10867.000000,24672.703986
32,1330558.613848,25242.000000,7618.112365
64,1223868.719081,19894.000000,49474.534359
128,996854.578219,18254.000000,23949.629997
256,1263500.399115,21958.000000,53016.598250
512,1038921.047997,20362.000000,55411.757940
1024,1584439.262866,31210.000000,27684.478521
2048,1043124.814556,18760.000000,358902.830873
4096,2007345.165466,30563.000000,443241.298278
8192,1206485.654708,23075.000000,468566.817619
16384,1592034.874541,32964.000000,71802.185754
32768,2701697.872035,54138.000000,352717.464610
65536,2799658.452268,56094.000000,655564.618415
