frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,568359.789677,13201.000000,7278.595606
4,678263.420768,12191.000000,21228.174533
8,565968.515956,10172.000000,8275.209665
16,736676.737079,12213.000000,21820.946084
32,838825.296318,11994.000000,25076.168766
64,1106375.348666,23249.000000,9758.944461
128,1065283.267313,20638.000000,76591.256825
256,1764665.874018,30693.000000,70564.013874
512,1473743.610164,28912.000000,49619.078347
1024,2008526.444419,32251.000000,228805.429558
2048,1134084.553079,16897.000000,49821.657098
4096,842736.128121,14817.000000,153209.435581
8192,973356.628790,21930.000000,356936.181695
16384,2751177.550026,49826.000000,423960.327511
32768,2262158.718082,29723.000000,390097.792515
65536,637382.941003,14712.000000,0.000000
