frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1052645.339215,26859.000000,2497.303346
4,4192558.258502,57980.000000,133066.546912
8,8035896.940917,100418.000000,232097.472662
16,1028914.397071,25532.000000,188.074453
32,704618.548883,21099.000000,54923.960691
64,1238357.592265,23394.000000,59682.847972
128,1799137.968179,33418.000000,134889.238755
256,3988827.191486,88159.000000,135050.814003
512,13823668.615538,206537.000000,2217054.884257
1024,1931049.475756,30895.000000,248797.938265
2048,1121424.457123,23922.000000,229287.409833
4096,1108800.501447,22958.000000,266481.980006
8192,1113123.009678,30830.000000,171915.696869
16384,3266386.336207,46905.000000,640421.735702
32768,3054123.035406,72915.000000,1144939.455985
65536,1826414.068209,34286.000000,669547.342639
