frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,3305973.812159,52149.000000,62550.143741
4,2394927.064521,41955.000000,53299.414809
8,1063964.592381,23480.000000,26222.941997
16,1153574.618662,22046.000000,232.443542
32,339601.425474,9316.000000,16068.025641
64,1150576.345168,31497.000000,83568.453773
128,5684733.454356,84190.000000,466536.363928
256,2269076.380920,37545.000000,52188.767862
512,1276577.225831,26218.000000,136366.461449
1024,3473205.832479,87376.000000,196189.093163
2048,1204826.991001,20291.000000,157427.444958
4096,2352754.161312,52851.000000,166157.566520
8192,994731.658105,19092.000000,450859.247953
16384,812149.071910,22445.000000,253667.079175
32768,12291291.994484,149095.000000,7278403.121395
65536,1800527.778338,30990.000000,1290288.646183
