frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,537976.270037,13987.000000,24102.660061
4,1029883.473601,21569.000000,12677.528466
8,698593.726812,20569.000000,857.495773
16,1828814.903137,34962.000000,7699.972922
32,1406159.176000,23529.000000,61230.673318
64,2836391.068751,48219.000000,208583.106802
128,967752.339571,25681.000000,12978.332636
256,719601.258010,15239.000000,126814.001384
512,903737.957441,16907.000000,109609.690562
1024,1391486.769068,25811.000000,100912.831587
2048,594905.809515,16203.000000,35954.807676
4096,1456056.304723,22767.000000,412534.327901
8192,1671267.266758,42529.000000,369650.579500
16384,935906.457064,21063.000000,147164.002575
32768,1341817.116168,23281.000000,398983.381561
65536,1882313.264575,50079.000000,1395928.221773
