frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1359032.204569,27135.000000,49385.018396
4,1899065.536709,37907.000000,39757.932630
8,625563.195186,14586.000000,24579.458619
16,1826986.388842,36428.000000,60403.987749
32,638347.130615,17964.000000,32881.402829
64,868850.124336,20093.000000,36366.085341
128,2455333.188026,44315.000000,163882.304292
256,1505366.600375,55371.000000,28782.618870
512,2489406.144371,82024.000000,406977.622585
1024,435643.291463,10940.000000,29907.281789
2048,4666438.948386,80805.000000,592242.775802
4096,2389267.122317,45227.000000,848256.668441
8192,5329709.757487,78634.000000,3247725.628205
16384,543018.805718,11445.000000,207853.434776
32768,1141251.623098,32017.000000,973172.058387
65536,12620580.324708,159927.000000,8861402.688659
