frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,14751419.937514,546554.000000
4,14318393.388806,554661.000000
8,14806528.962497,569424.000000
16,15491655.011668,601712.000000
32,15003123.755756,520104.000000
64,15740408.842858,541348.000000
128,14916663.929770,515228.000000
256,15897333.274468,579728.000000
512,14772832.211517,558494.000000
1024,16274611.697369,588257.000000
2048,16038548.914668,538526.000000
4096,11735546.597075,488191.000000
8192,17336835.021783,514833.000000
16384,18794562.064466,566434.000000
32768,22616480.347844,697455.000000
65536,4573093.964225,138223.000000
