frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,15015246.692924,559665.000000
4,15131776.763823,541791.000000
8,14167005.986226,549642.000000
16,14696252.406107,552093.000000
32,15642201.290063,537756.000000
64,15410992.904223,579983.000000
128,15105777.128994,573503.000000
256,14206032.204989,538925.000000
512,15516031.000821,565537.000000
1024,17133798.609947,567649.000000
2048,16477356.046116,620726.000000
4096,11939292.274094,472760.000000
8192,12147039.629039,517193.000000
16384,13049538.376584,495537.000000
32768,15443440.619841,663378.000000
65536,33553857.133358,670203.000000
