frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,14213083.176840,567704.000000
4,15026269.045727,538969.000000
8,14879117.223411,518583.000000
16,14729598.339637,524157.000000
32,15686597.453431,558878.000000
64,14733585.931945,569653.000000
128,14954428.737194,518385.000000
256,14416808.760461,518742.000000
512,15386055.092104,547145.000000
1024,18715978.778234,566490.000000
2048,12641497.367417,501116.000000
4096,17692075.112811,559145.000000
8192,17419097.460835,570867.000000
16384,12399165.951399,505735.000000
32768,17251289.981390,566850.000000
65536,24659501.815699,653421.000000
