frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,14048926.124364,554268.000000
4,14500787.486445,532262.000000
8,14827587.797730,542214.000000
16,15136621.537307,573783.000000
32,14229147.107289,530386.000000
64,16039358.387375,573315.000000
128,15428970.341990,573941.000000
256,14306468.441066,512085.000000
512,14967574.569266,560179.000000
1024,16288286.391651,515181.000000
2048,13967518.761690,550172.000000
4096,13967321.831897,548476.000000
8192,12978988.096742,543012.000000
16384,12157884.915291,457217.000000
32768,32100186.424977,637908.000000
65536,10116350.326256,432348.000000
