frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1451829.254305,264660.000000,176403.015672
4,2499778.464499,275136.000000,56.762664
8,2553855.304152,296276.000000,1128.667799
16,2912712.306062,297166.000000,340.346882
32,3143752.466952,297416.000000,497.104617
64,2940613.179835,300568.000000,19803.239735
128,2754804.974087,272753.000000,152341.445411
256,3709395.333552,303453.000000,388501.989399
512,3130662.899130,296914.000000,117115.965261
1024,2725359.256371,284964.000000,380747.401359
2048,1936998.615537,301940.000000,168464.467527
4096,737818.233996,113816.000000,147125.028557
8192,3218105.779246,291778.000000,866298.045354
16384,3335082.890413,242173.000000,1325522.769870
32768,1121116.231975,131646.000000,725377.080949
65536,2653705.885363,182955.000000,1937668.659057
