frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1608089.617352,301739.000000,517.390568
4,819270.086670,190534.000000,13019.120823
8,2329995.606115,271394.000000,1288.480112
16,2448407.943422,286356.000000,85830.357747
32,2713905.218996,299896.000000,274.136827
64,3242689.830379,293382.000000,52552.307171
128,3043159.179559,296422.000000,14554.997458
256,2248243.138670,300323.000000,84359.871035
512,3274807.126653,301148.000000,310416.334090
1024,3426559.686308,296596.000000,540453.229124
2048,3213886.436384,300490.000000,223073.592917
4096,3206546.188787,279332.000000,1682076.132953
8192,2166633.729826,178314.000000,343640.114393
16384,2145507.286776,273123.000000,396901.653413
32768,4063821.325668,248258.000000,2517806.160039
65536,798088.865444,106805.000000,0.000000
