frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1468493.011478,303591.000000,3224.610829
4,956389.015686,246841.000000,86.758285
8,1670897.140731,275355.000000,1205.629711
16,2305144.583819,293945.000000,3352.692053
32,1979459.038818,276058.000000,166.003012
64,2716728.908682,301430.000000,59846.663675
128,3251356.699879,306422.000000,92491.178493
256,3349126.234530,294705.000000,127144.968638
512,3093703.667395,292983.000000,438200.721921
1024,2318563.532002,303756.000000,465100.498709
2048,2303551.654980,265270.000000,644180.434542
4096,1924658.619427,256669.000000,291098.926618
8192,1483889.061870,270813.000000,371157.819728
16384,1127147.657832,118101.000000,203025.882274
32768,3661375.798838,296635.000000,1079004.067691
65536,3192155.440371,300913.000000,239020.127182
