frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2024309.601573,295984.000000,71.168813
4,1720465.593949,293626.000000,211022.338817
8,2020714.815311,281721.000000,18425.035522
16,2793671.311491,298599.000000,5339.267834
32,1707235.012447,282728.000000,1059.975000
64,2780526.620688,301840.000000,1072.650922
128,3088705.631481,301466.000000,115208.935222
256,1980380.052235,302269.000000,15706.106870
512,3201336.916143,299409.000000,116454.889601
1024,3580590.692990,301941.000000,429153.044866
2048,2343698.415928,279712.000000,191812.917487
4096,2330219.461591,299794.000000,436095.166242
8192,1495854.454422,132138.000000,480555.316115
16384,3462140.454621,288369.000000,1912361.038711
32768,5375842.752393,300864.000000,3550855.258228
65536,895200.413710,72292.000000,878489.137484
