frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,939241.634569,269156.000000,153.062079
4,1300140.943688,272031.000000,1899.506252
8,2289641.056659,295760.000000,304.139771
16,1594510.918008,258781.000000,19166.342765
32,2456306.125174,299977.000000,227.593937
64,2904768.699450,298783.000000,1123.433576
128,2576797.383628,300530.000000,1439.399875
256,2718641.191438,291938.000000,500017.485715
512,2440179.000617,302248.000000,231110.120735
1024,2756545.547197,300855.000000,118028.948042
2048,2866844.336981,288607.000000,651146.768766
4096,3295292.005844,293076.000000,751913.080853
8192,1932807.576764,277806.000000,888743.558405
16384,3370982.226266,290786.000000,582322.073275
32768,1332545.787756,118547.000000,975860.983146
65536,3901665.604702,303180.000000,2981709.940249
