frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1800875.181924,297404.000000,238.054616
4,1712937.756849,301165.000000,542.793699
8,1704064.645383,247451.000000,485.969135
16,2112497.941819,287580.000000,248.995984
32,2801047.674441,302358.000000,249.489479
64,2168700.897308,288869.000000,52217.464301
128,2982100.748599,299131.000000,211718.992816
256,3306312.373427,298916.000000,307892.734599
512,2929693.477654,294743.000000,147792.066983
1024,3055868.748241,301864.000000,202135.472377
2048,2745134.528208,288853.000000,898628.953072
4096,2681976.300523,269006.000000,992241.303070
8192,2190784.546989,297093.000000,302706.635050
16384,2604802.322168,263423.000000,1196730.323959
32768,2044708.906629,241279.000000,482026.787778
65536,6237171.075439,302226.000000,6009420.819517
