frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2660247.557479,300715.000000,69.935685
4,2033970.181932,303416.000000,3989.393688
8,1521967.830627,277351.000000,15498.042651
16,2251546.507659,303806.000000,258.520792
32,1704120.235537,218163.000000,114562.930794
64,2367085.800344,298148.000000,462.110376
128,2790507.042544,302682.000000,2778.832309
256,2787634.202443,282009.000000,456171.030532
512,3984612.204898,295041.000000,428562.435383
1024,2732539.655481,288117.000000,496525.293381
2048,3158799.361230,301319.000000,862563.427519
4096,2998311.564967,295111.000000,963081.820662
8192,2111761.908994,228041.000000,1303096.894362
16384,4532601.031762,255182.000000,1989452.052147
32768,3388966.599963,235087.000000,1396339.981586
65536,4953940.255314,245179.000000,1479416.542382
