frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1321225.899572,238671.000000,103.024269
4,783873.883243,165144.000000,24.000000
8,2095372.663202,289035.000000,657.100449
16,2207751.622738,287100.000000,85360.783759
32,2162975.482945,296276.000000,246.566421
64,2426204.094291,302096.000000,9916.661636
128,2262737.330843,280213.000000,124010.456329
256,2604639.367499,304423.000000,171656.153709
512,2897552.089753,302789.000000,196681.885645
1024,2329306.370555,289392.000000,109548.830227
2048,2711678.182560,297545.000000,535540.918432
4096,4261149.344440,291473.000000,1101925.393515
8192,3586075.686876,302884.000000,388672.826179
16384,2896480.834315,228825.000000,2013338.122652
32768,2811627.270841,292308.000000,686116.834900
65536,987226.354699,172598.000000,500832.292502
