arrival_time,job_size
16,39
52,55
103,14
118,68
136,24
141,41
149,17
155,32
221,41
232,40
244,37
283,28
286,17
324,36
334,9
417,77
428,40
436,112
458,16
490,8
499,43
528,17
553,9
618,5
629,46
757,57
797,124
821,25
833,27
839,53
855,50
861,71
865,9
866,33
872,14
899,49
913,15
927,31
994,30
1087,12
1141,19
1187,10
1190,67
1206,40
1234,133
1296,22
1339,29
1350,29
1365,33
1445,12
1474,38
1487,148
1491,43
1492,16
1509,224
1550,6
1644,48
1651,47
1679,382
1682,24
1820,573
1831,15
1882,59
1909,11
1931,50
1941,34
1982,17
2013,6
2064,7
2097,17
2155,33
2161,278
2204,34
2222,13
2232,9
2273,60
2280,62
2281,82
2344,14
2378,8
2395,19
2409,64
2418,29
2477,91
2485,27
2500,8
2512,50
2521,13
2526,13
2544,64
2612,54
2629,29
2655,26
2693,23
2709,59
2765,76
2775,28
2778,22
2784,11
2789,147
2843,53
2919,24
3008,74
3011,15
3027,9
3038,52
3073,47
3105,14
3124,60
3133,43
3143,10
3159,21
3170,15
3186,32
3196,9
3209,57
3259,60
3264,78
3274,8
3291,13
3323,11
3330,16
3358,24
3364,37
3369,33
3379,25
3478,11
3551,24
3579,23
3758,5
3763,25
3789,67
3801,82
3943,10
3992,38
4002,15
4011,63
4044,43
4069,32
4093,34
4099,15
4100,32
4129,39
4179,21
4200,16
4208,59
4220,15
4253,20
4264,9
4286,18
4295,92
4300,20
4305,17
4317,17
4318,15
4411,55
4418,29
4442,39
4492,167
4498,100
4535,17
4542,38
4571,58
4590,12
4600,18
4629,9
4632,22
4638,10
4643,52
4672,52
4673,9
4676,27
4693,13
4705,57
4712,219
4713,21
4755,30
4773,17
4782,6
4792,26
4812,318
4817,23
4843,469
4876,37
4879,60
4899,17
4913,15
4918,16
4919,14
4962,60
5001,15
5032,11
5059,25
5092,18
5106,27
5126,203
5127,18
5189,18
5277,17
5302,24
5303,6
5319,23
5324,122
5326,22
5360,13
